gene_name,Kruskal-Wallis H,KW p_value,ANOVA F,F p_value,On ratio
IFI35,18.543427956034808,0.017501619988117615,2.25767441143044,0.02314142012218971,0.2897727272727273
TRAPPC13,16.84510210474199,0.031763047985705714,2.2576228291413933,0.02314463627211398,0.17329545454545456
CMAS,17.8589523044293,0.022309160456052635,2.256930008852847,0.02318787471794244,0.19318181818181818
COMMD4,15.125418334423907,0.056752169828271117,2.256812958635334,0.023195187316911555,0.2528409090909091
PIAS1,18.88581969241661,0.015482356448331075,2.2564089566033387,0.023220443787789254,0.20170454545454544
HERPUD1,19.74102569650803,0.011361523683647368,2.2563914470891393,0.023221538997874373,0.5511363636363636
ASTE1,21.67105195371277,0.005563111111132169,2.2558422035366767,0.023255918792172817,0.07954545454545454
MKRN1,20.507591400476503,0.008577117157811917,2.254556560805189,0.023336582512930498,0.14488636363636365
PRPF8,16.871515887588494,0.031475130998054636,2.2539911282694747,0.023372142934996926,0.26136363636363635
SEC61G,10.779000088274085,0.21453851747701777,2.2539086405582225,0.0233773349413938,0.7357954545454546
SMIM12,21.930477002340254,0.005046299549165408,2.2535338363810418,0.0234009399623967,0.29261363636363635
MT-ND6,36.73465612957197,1.2876769614727458e-05,2.2525880791211192,0.02346060406821404,0.9460227272727273
OTUD7B,18.771377376613707,0.016131314562237972,2.2524917011425156,0.023466692281707436,0.19602272727272727
DCAF7,17.980398544179472,0.02137392231939083,2.252382354191261,0.023473601564561773,0.16761363636363635
ZNF136,18.904584308231787,0.01537834461096184,2.2522834848148885,0.023479850466398746,0.05113636363636364
CDK10,16.817298495009517,0.03206877077196264,2.2517378341563257,0.023514365991450546,0.056818181818181816
EIF2S3,16.143936710616703,0.04036566235251777,2.2516697170553437,0.023518678169558906,0.6903409090909091
WWTR1,16.976203732880037,0.030357824304301298,2.2512024961086827,0.02354827601286774,0.1534090909090909
SACM1L,22.401638661454612,0.004223724981564174,2.251079536798021,0.02355607120442786,0.5397727272727273
FAM133B,17.386415938316528,0.026327652955213658,2.250904766059211,0.023567155277260606,0.4119318181818182
RPL35A,9.276153601974004,0.3195383369587186,2.2508146543024408,0.02357287215808885,0.7613636363636364
MRPL14,18.39940174403562,0.018423540543180104,2.24904027514527,0.023685711182611285,0.26988636363636365
AGO4,18.130594212657982,0.020268431886229482,2.247857014838507,0.023761243745819335,0.10511363636363637
VPS28,20.450167292426208,0.008760693397317689,2.2473490474944917,0.02379373959252076,0.26136363636363635
SLK,16.7708624820848,0.032585505623168275,2.2471120331827628,0.023808916380420857,0.14772727272727273
MT1X,23.750131090985143,0.002523542656351434,2.2463538154237286,0.02385752925742038,0.22727272727272727
AMD1,18.729443254571898,0.01637550698825566,2.2461028304591157,0.02387364182443607,0.24431818181818182
PCNT,13.579043513912115,0.09341907035948031,2.2460344147149502,0.02387803572486785,0.11363636363636363
GRIPAP1,19.697494794403475,0.011543166914975764,2.2444327706931673,0.023981118597400326,0.21022727272727273
COA1,18.232280899434585,0.019550889074418903,2.2415169232296486,0.024169870016204114,0.21875
HELQ,17.865440048205194,0.02225823903898863,2.2411560267107515,0.024193329743406832,0.07386363636363637
MRGBP,17.808223673427218,0.022711125562280828,2.2398265993521767,0.02427993444805881,0.05397727272727273
ESF1,19.836461699361323,0.010972797919480136,2.239349806057609,0.02431106646846427,0.2528409090909091
SRP19,19.67051017064259,0.011657155149584132,2.23804514314357,0.024396447660072252,0.4375
RP11-403I13.8,14.113748268119364,0.07884836493824494,2.2367136786493136,0.024483876164585014,0.06818181818181818
SP4,16.773132761197623,0.03256006255996431,2.2361596789601723,0.024520341189906165,0.4119318181818182
H2AFY,16.123536968207947,0.040645665279959026,2.2352430364894675,0.024580789054983482,0.4034090909090909
MED1,17.211763216800804,0.02797800892914676,2.2346123115337453,0.024622464210332994,0.08522727272727272
RNF216,19.92241718747622,0.010633591056108695,2.2332031710640154,0.0247158154889684,0.11931818181818182
SQLE,23.94025190919016,0.0023452508158798677,2.23302411416001,0.02472770147966012,0.13636363636363635
BCL11B,20.726913438796593,0.0079093467681195,2.232985154095625,0.024730288409002304,0.14772727272727273
NMRK1,19.545070972962517,0.012201284874713685,2.2324053105476995,0.02476882009600893,0.29545454545454547
STRIP1,21.199504810904706,0.006635926199177507,2.231947575578686,0.02479927765580074,0.17613636363636365
CCSER2,18.584052652186344,0.017249589246998577,2.231850121003447,0.024805766842172262,0.20738636363636365
HAUS8,19.053035973907285,0.014578569603290877,2.2316444369157367,0.024819467970773147,0.07386363636363637
PI4KB,21.10246500807519,0.006880164156014387,2.2314655601107822,0.02483138923525653,0.10511363636363637
SPNS3,21.506455667834523,0.005917070909441213,2.2312678945530706,0.02484456899527717,0.08806818181818182
RAB5C,19.11023726308153,0.01428108590525945,2.2306621574597276,0.02488499910428508,0.2840909090909091
SNX14,15.797838475231858,0.04536677707934587,2.2303475361729768,0.024906023215506466,0.41761363636363635
RFC3,18.76288711697346,0.016180474648182515,2.228735411951956,0.02501401566195327,0.05397727272727273
CHEK1,21.766835605649817,0.005366617593393468,2.2287020428406796,0.025016255665293793,0.06534090909090909
L3MBTL3,17.18074244596753,0.02828109475699438,2.2285660701598924,0.02502538521317259,0.05113636363636364
IPO9,12.406434432497514,0.13397011818764598,2.228335866433666,0.025040848874056845,0.07954545454545454
AZI2,19.441110679992963,0.012670518766044567,2.2283241214876677,0.025041638069713597,0.19886363636363635
SLC48A1,17.390120070045963,0.02629366149918227,2.228250817972633,0.025046564195073905,0.1875
THAP9-AS1,22.067244620557418,0.004792808076512091,2.2273664097780923,0.025106070459983566,0.11363636363636363
TMEM60,16.824812392911465,0.031985879634581195,2.2269071513012895,0.02513702393542552,0.2840909090909091
PACSIN2,16.864695682203045,0.03154923857528864,2.226747767981061,0.025147774638020443,0.056818181818181816
RCN2,16.27695210617126,0.03858332354939541,2.22635104756954,0.025174553106311143,0.3039772727272727
CTC-232P5.4,17.294896354568895,0.027180710716023126,2.2263332640547078,0.025175754119379477,0.05965909090909091
SNX3,15.343159922496591,0.05280650134966169,2.226240282838936,0.025182034508249376,0.4034090909090909
BLM,15.351844015915463,0.052654482042783,2.225956253414851,0.025201228393624122,0.2585227272727273
PQLC3,20.090765197237154,0.009998056799990787,2.225613531808404,0.025224406994623413,0.20738636363636365
MRPL19,16.92950906217583,0.030851523530231732,2.2254238266320177,0.025237245632807707,0.21022727272727273
AP2B1,14.919335483224245,0.060733039586215586,2.2245429864164636,0.025296939290755008,0.3181818181818182
KLF13,26.484352063225007,0.0008674534660385626,2.2242767361494176,0.02531500913603929,0.1278409090909091
ACTN4,22.896052994458692,0.003500297276441101,2.224209531479114,0.025319572109500057,0.19886363636363635
ODC1,18.941820732125098,0.015173906366695798,2.2237693374988767,0.025349479102517267,0.13352272727272727
FBXO44,24.06966053619484,0.0022309561978621066,2.223074914406148,0.025396726644660833,0.14772727272727273
SEC11C,19.612468970641643,0.011905983591811912,2.222418378381747,0.025441473173145112,0.5198863636363636
