,TPM_p,UMI_p,TPM_logp,UMI_logp
TIMM23,0.02449312990507441,0.027663946414086017,1.6109557141138122,1.55808586531109
STT3B,0.024513527594349282,0.09627937320622412,1.6105941875433736,1.0164667457127974
LINC01138,0.024520130316467072,0.006950009289156289,1.6104772260144644,2.158014614945624
CD96,0.02457277540894952,0.00768399852888023,1.6095457887083806,2.1144127269570463
LPIN1,0.024622093961881527,0.07146724478805835,1.6086750156849619,1.1458929605378092
FN3KRP,0.0246598521214923,0.025592439624599485,1.6080095320798027,1.5918883125887744
FAM222B,0.024698468261548926,0.07664527492026864,1.607329979784238,1.115514613664224
HERC3,0.024721265817458534,0.0027269380519431615,1.606929295579062,2.5643247278467216
CUL4A,0.024738666828317605,0.010442313439281462,1.6066237082924169,1.9812032750299815
DENND6B,0.024746122808452103,0.04786388764596484,1.6064928361162243,1.3199920296126664
COX7B-1,0.024794981581190836,0.015241180136706682,1.6056362099859043,1.8169814039271
ERBB2IP,0.024820869595157145,0.14003534027104098,1.6051830071337223,0.8537623489798649
ATXN2,0.024864209251762363,0.003265299817458804,1.6044253479361568,2.486076935954021
SPEN,0.024872361017073595,0.011348948770273875,1.604282987226321,1.9450443644103252
RP11-277P12.9,0.02490740786318069,0.03156374466397756,1.6036714675375154,1.500811478516217
RNU1-59P,0.02491233653628427,0.018843470649871664,1.6035855379300967,1.7248391044480678
SREBF1,0.025010534193957365,0.08073131807584652,1.6018770321795197,1.0929579568638657
DCTN1,0.025036352064680006,0.002201242872723014,1.6014289499661314,2.6573320371993754
STMN3,0.025113044566778972,0.027117119130914566,1.6001006326316334,1.5667564509408205
PTCD3,0.025140117745115324,0.013157834605630704,1.5996326926033584,1.8808155769989774
ZNF664,0.025143030135459623,0.024896894630975042,1.5995823840960193,1.6038548187169537
MLLT10,0.025430623384816196,0.08617005415877912,1.5946429937657975,1.0646436340957228
INPP5D,0.025441835489273833,0.011786744152073314,1.594451559921903,1.9286061433412467
TUBB4B,0.025476522401098396,0.028218831429065894,1.5938598544013751,1.5494609747920318
AHR,0.025588515216698922,0.008112043851540376,1.5919549134837587,2.0908697103245295
ATF4,0.025641185826120953,0.013594168912852108,1.5910618939023577,1.8666473381018664
RLF,0.02565799270960285,0.1699853493277804,1.5907773226002948,0.7695885079175335
FAM3C2,0.02567901515854467,0.02632575746342152,1.590421636343499,1.5796191241329185
HELZ,0.025679610347644537,0.06570910130521995,1.5904115703676587,1.1823744725576646
GAA,0.025683804433979142,0.04567145529400542,1.5903406456223497,1.3403551496348118
KIF21A,0.025691250694961806,0.007830585109330483,1.5902147530050041,2.106205785801618
RP11-212P7.1,0.025722197898126197,0.0825202729252514,1.5896919247740402,1.0834393443230421
KCNK5,0.02572602045897624,0.00946664238497905,1.58962738931917,2.0238040286250687
KIF5B,0.02582457786032307,0.15877420144184473,1.5879667689150483,0.7992200628765431
LINC00894-1,0.025832170529282435,0.01893518311019982,1.5878391010165254,1.7227304907351355
PPP1CC,0.025850481902142137,0.014538916609505206,1.5875313564195406,1.8374679544153316
POLR2L,0.02585608570387516,0.010826036587802672,1.587437221368906,1.9655305094956546
ME2,0.025866854787808896,0.015343712196535048,1.58725637496881,1.814069556199802
ELF2,0.025966637303871942,0.07096802267846958,1.5855842881423585,1.1489372949795487
TMED2,0.02601506268753037,0.02738493335826105,1.5847751232634002,1.5624883115975186
AIF1,0.02614330966169854,0.04034644755931201,1.5826394329442406,1.3941946981985867
PPP2R2D,0.02617461754726649,0.09368168246226362,1.5821196553348973,1.028345318218403
SLFN13,0.026199741220989076,0.05907913772729994,1.5817029982547395,1.2285658519350429
PCNXL2,0.026241314313433694,0.12620504805356406,1.5810144168277385,0.898923273475711
DCPS,0.02624410268287147,0.05603387975185823,1.580968271687592,1.251549306204764
PHB,0.02626511049596413,0.026929417396507158,1.580620767802561,1.5697730422148932
FBXO33,0.02628964513061662,0.02165392227543742,1.58021527615515,1.6644634264101428
ZBTB49,0.0263786825679395,0.02608022180014996,1.5787468982423247,1.5836887194519425
ATXN10,0.026394995880017723,0.01841364248887628,1.5784784014518354,1.7348602931719086
ATG13,0.026405026862990205,0.02534900870330865,1.5783133863484657,1.5960390194904366
CDC16,0.0264166977313194,0.02196222721533907,1.5781214731220121,1.6583236196734825
NDUFA5,0.026445086811362425,0.0446159424968207,1.5776550029829137,1.3505099282558166
UBOX5,0.02647625065831323,0.02266095539121073,1.5771435159730554,1.6447217841291013
STAT5B,0.026476579599111188,0.07289225627885429,1.5771381203342298,1.1373186065790628
TMEM44,0.026509831083567588,0.0088139159626691,1.5765930395135386,2.054831094638793
CEP164,0.026600883644359287,0.013516380725051349,1.5751039364706205,1.8691395836580038
XRRA1,0.026604057072411945,0.0694258687351056,1.5750521291656951,1.158478677159238
USP13,0.026629541553111778,0.03213613860357377,1.5746363101914616,1.4930063081547318
RP2-1,0.026716986732039687,0.060847099501471436,1.5732125252175437,1.2157601191681584
EIF2S3,0.026721270397660254,0.011541992623987148,1.5731428982332354,1.9377192075670115
STIP1,0.026724670247157904,0.002715651472486282,1.5730876447991933,2.566125968297503
SLC16A4,0.026808095946340038,0.0051015110745673544,1.5717340308273855,2.2923011662264803
SLC48A1,0.026820417404173364,0.04221703400838447,1.5715344675389087,1.3745122816640722
HPRT1,0.026873157226026453,0.06195637228169217,1.5706813069463739,1.2079140193209497
SLC29A3,0.026898901135160545,0.017967705723119305,1.570265461286954,1.7455073739428142
HGS,0.026900231488093135,0.04660752099408788,1.5702439826901977,1.3315439961281277
STK4,0.02691488862157701,0.05152913248391009,1.5700074130295896,1.2879471690200475
PSPC1,0.02691552455443036,0.058854652689137206,1.5699971518366027,1.2302191987959656
BCL3,0.026929066583617992,0.019921250461167543,1.5697786998602887,1.7006834042988521
GYPC,0.026938221411074985,0.029327197186117742,1.569631081844471,1.5327294407619445
AKR1A1,0.02693882239406032,0.03133493910315159,1.569621392983471,1.5039711449784008
SLC12A2,0.026939100631931834,0.11087566615479408,1.569616907392139,0.9551637578571095
YWHAZ,0.026950146120432443,0.3288070911276048,1.5694388757787094,0.4830588249386146
RP11-36C20.1,0.026991500982318378,0.060493374140826575,1.5687729638979868,1.2182921911601254
ARHGAP5,0.026998625480320587,0.04666909813468856,1.5686583455264669,1.3309705916349353
AC006995.8,0.0269998016197165,0.062112326703224745,1.5686394267957888,1.2068222019499844
PCED1B-AS1,0.027014007283359374,0.20931574813298923,1.568410987380039,0.6791980957417323
GPD2,0.02704901063666933,0.011813043769929699,1.5678486153224047,1.9276381868767956
B4GALT1,0.027135331239468107,0.018785759718127747,1.5664648726437398,1.7261712368678852
ICK,0.027169277417031342,0.07921505516627045,1.5659219117465921,1.1011922710080742
IFIT5,0.02718984185199497,0.02127307246150753,1.5655933184516926,1.6721697805855693
DNAJA3,0.02719597430716995,0.11996057900270417,1.5654953777883953,0.9209614467381808
TES,0.02729481501768133,0.019682335748876366,1.5639198446469915,1.7059233641031044
WDR43,0.027335341144868876,0.00841199682584361,1.5632755017464655,2.0751008998609977
AC007000.12,0.027410172978917763,0.02897950448510783,1.56208822372528,1.5379090447179562
SLIRP,0.027461105718257828,0.011736485031771373,1.5612819799299251,1.9304619507778347
MPDU1,0.02749134495681362,0.02614879072158383,1.5608040126834795,1.5825483907388431
TFG,0.02749320607250587,0.008741285435967885,1.5607746127061948,2.0584246981780887
USP10,0.02760434640615288,0.04226462345189676,1.5590225312828212,1.3740229959298276
C7orf60,0.027669707855780386,0.028623803009518,1.5579954262328208,1.5432726656033409
SDAD1,0.027726392102584686,0.06965945413388869,1.5571066393251358,1.157019933087212
FDXR,0.0279143800029927,0.013108665040395373,1.5541720136766821,1.8824415337187579
PPP1R21,0.027916523816247648,0.028567202093305304,1.55413866131433,1.5441322928668682
LLPH,0.027941717445612208,0.01674459528442552,1.5537469033675382,1.7761253448613399
PSMA4,0.028093534295931248,0.05521691144883455,1.5513936211164718,1.257927889225937
MRPL47,0.028158869759271177,0.021577720745591035,1.5503847808922349,1.665994431751842
MUS81,0.028212154317478574,0.0652912150507121,1.5495637492763898,1.1851452492250758
RPL23AP64,0.02821291456772268,0.06333955735484596,1.5495520462340213,1.19832497599757
CHCHD3,0.0282203641011105,0.010549093666753995,1.549437387247757,1.976784851497654
HMGB2,0.028261562004500074,0.070393048438082,1.5488038385529896,1.1524702268528646
RIC8A,0.028318555894345575,0.022395866910767403,1.5479288972784526,1.6498321219991228
CXorf40A-1,0.02835701826380323,0.008249113348091214,1.5473394370875728,2.0835927288712917
CNBP,0.0284121246092877,0.09251326680456505,1.546496289276367,1.0337959830786005
HCFC1-1,0.028431276526241018,0.12725346894565864,1.5462036406311672,0.8953303699073286
RRBP1,0.028433612660706396,0.01354445938569294,1.5461679570899742,1.8682383247390417
BBC3,0.02848026416494095,0.014216501928963414,1.5454559867752056,1.847207251696074
MIR29A,0.028506939036354133,0.01967590604240686,1.5450494130303811,1.7060652599773973
TIMM23B,0.028584010494420675,0.009583438622668689,1.5438768373573883,2.0184786342512835
ARHGEF2,0.0285973139634547,0.02798822468549745,1.5436747565783693,1.5530246482914096
MAP3K7,0.02860245177546426,0.033069945772455846,1.5435967379577689,1.4805665172345435
UBE2M,0.028622395222881517,0.054550598690644415,1.5432940257630343,1.2632004786848705
