gene_name,total variance,interclonal variance,intraclonal variance,ANOVA F,p
FRG1,2259.1545,137.56987489387393,2121.5846104621887,2.780142897430753,0.005427453310172245
RP11-138A9.2,1377.1436,83.75824398250552,1293.385380744934,2.7765388137305105,0.005483393490087027
VAMP2,1780.5145,108.09364225249738,1672.4207367897034,2.7711417406076966,0.0055682121356893976
SLC31A2,511.29364,31.02728928871511,480.2662807703018,2.7699113627548297,0.005587726010565563
KLC1,835.67725,50.56021740165306,785.1169810891151,2.761078123783214,0.005729785166217469
OGFOD1,1524.8412,91.88071881048381,1432.9603524208069,2.7491240859137487,0.005927630428748858
MRPL11,1402.9299,84.19825259339996,1318.7317725419998,2.737478655711277,0.0061267371099896
RNF149,2291.141,136.1505402093535,2154.9905400276184,2.7088074416332324,0.00664499347664999
RNF10,1639.1138,97.39202886261046,1541.7215734422207,2.7084548270031172,0.006651624653499127
LRRC28,3795.3354,225.2162482989952,3570.1190650463104,2.7047127756491682,0.006722393157440905
EMC2,1227.3098,72.66730845335405,1154.6423795819283,2.6983340513325453,0.006844711468781824
WHAMM,408.96252,24.12005188933108,384.84250274300575,2.6871959759747845,0.007063485633083523
PNN,2604.3682,153.41953597217798,2450.948570251465,2.6838027874784207,0.007131470596408429
ADIPOR2,845.9068,49.405704246484675,796.5010875463486,2.6594685213719407,0.007637937139857366
ZFY,380.45798,22.21676077938173,358.24125957489014,2.658944476541689,0.007649218234705617
CEP350,737.78455,42.981065458618104,694.8035281300545,2.652279539365422,0.00779410849234165
CNPY4,680.5575,39.617342345794896,640.94021563977,2.6501591125475934,0.007840759189669944
SFSWAP,614.9463,35.765202010050416,579.1811226904392,2.647588079282931,0.00789768599394066
KPNB1,1682.549,97.76222074404359,1584.7867834568024,2.6448701226912528,0.007958300704805627
GTPBP4,1833.2891,106.116356466664,1727.1728010177612,2.634211690241544,0.00820037267478288
FUBP1,1611.6471,93.14733767113648,1518.4998044967651,2.630024772359781,0.008297400293029913
RAD23B,521.7346,30.090353877400048,491.6443345248699,2.6241000493584776,0.008436598785012553
B4GALT3,1207.6653,69.62076652795076,1138.0445412695408,2.6229117197434078,0.008464788566142589
FTSJ3,1776.6653,102.34789609629661,1674.31763535738,2.6208683182101655,0.008513475571517675
SLFN12,754.47815,43.376584336394444,711.1016372055747,2.615337887184845,0.008646607675563144
XAB2,335.65594,19.116887333337218,316.53907369077206,2.5893692518274647,0.009299112779030524
DUSP2,1671.2219,94.622156559024,1576.5999042987823,2.573211473251063,0.009728832487689222
RAD51B,441.51755,24.871390011161566,416.64617969840765,2.559391874180738,0.010111515416717273
INSIG2,1239.0596,69.78302176048055,1169.2765717506409,2.558801852585707,0.010128172940724524
