gene_name,F_pval
SLC35D1,0.33820370132251426
IL12RB2,0.016514814289449183
SERBP1,0.026856629061281365
GADD45A,0.0028028686943876863
LRRC40,0.9081370196124692
SRSF11,0.005060954173817288
ANKRD13C,0.497351842077824
HHLA3,0.4856454764513326
ZRANB2,0.430328317632552
FPGT,0.6535066145031392
CRYZ,0.08730728305109785
TYW3,0.5815656865194132
ACADM,0.06783699643618384
RABGGTB,0.07057360252446479
TPI1P1,9.657800588315346e-09
PIGK,0.7713802116372006
ZZZ3,0.9762925781311431
USP33,0.12920530507675954
FUBP1,0.756799626075318
DNAJB4,0.7093862696699872
RP11-386I14.4,0.03213868330267083
IFI44L,1.3456701706709523e-16
IFI44,8.696853248155951e-07
PRKACB,0.010014856648221264
RP11-82H13.2,0.043228157281747955
RPF1,0.015174437480412526
GNG5,0.12797307539141967
SPATA1,0.2875949120756611
CTBS,0.0030032257101103633
MCOLN2,0.04071166953809283
C1orf52,0.4529168598482254
BCL10,0.3722611522895576
ODF2L,0.0060639119147081555
SH3GLB1,0.00176847067671177
SEP15,0.3667866023429857
LMO4,0.004993514691182738
PKN2,0.1662558466963725
GTF2B,0.7859855784795793
CCBL2,0.5662861766666198
RBMXL1,0.04243016281305691
GBP3,0.10068918001617665
GBP1,4.588442949719451e-06
PTGES3P1,0.16630775327024078
GBP2,0.0004890280206734899
GBP4,0.09765878236344595
GBP5,0.0011544435581087543
LRRC8B,0.04363014557780125
LRRC8C,0.18554445244909215
LRRC8D,0.04703968799448016
ZNF326,0.9670451283668928
ZNF644,0.5338398258109143
CDC7,0.5002411895398786
TGFBR3,0.00030275000981604274
GLMN,0.046408966403397166
RPAP2,0.9060763437370871
RPL5,0.0025475244220911895
FAM69A,0.26052446556423425
MTF2,0.6495175573300014
TMED5,0.29373240835697734
CCDC18,0.0065321331014341665
RP4-717I23.3,0.6485685265345255
DR1,0.5550333849520392
DNTTIP2,0.04452733443841138
GCLM,0.0037202902984150633
ABCD3,0.22822666413576004
RWDD3,0.004744441509456236
RPL7P9,0.25286621243598656
PTBP2,0.7415690428979035
DPYD,0.05601848672018678
AGL,0.16064611768557754
SLC35A3,0.9531004548863681
HIAT1,0.05066488149714037
SASS6,0.08474790474245444
TRMT13,0.8421871737204656
DBT,0.26466158800300327
RTCA,0.8243446463424315
EXTL2,2.527748261430808e-05
SLC30A7,0.005466379597012397
S1PR1,1.08154638902745e-18
RNPC3,0.12767146742104035
RP11-270C12.3,0.00019579069955567182
SLC25A24,0.27545942621827446
FAM102B,0.47376857598102806
HENMT1,0.09043154523360619
PRPF38B,0.8736883289923475
STXBP3,0.5971913150397984
TAF13,0.007428677649292874
TMEM167B,0.12755534774600416
SARS,0.38331946409199075
PSMA5,0.05939802645197351
GNAI3,0.08738749617375295
GSTM1,0.3512804800678835
CSF1,6.453854269664177e-23
AHCYL1,0.3077621306861139
STRIP1,0.0247992679086005
RBM15,0.44100821426343717
LAMTOR5,0.2264775754862374
KCNA3,1.826867890082513e-05
CD53,0.3861172871637414
LRIF1,0.3351303420443268
DRAM2,0.7971857426050949
CEPT1,0.6604360126859035
DENND2D,0.00011735001149754066
WDR77,0.31557423407706064
ATP5F1,0.37525879316211574
RAP1A,0.009872336214982933
LINC01160,2.0553406762225103e-05
RNU6-151P,0.11701403647629642
DDX20,0.36835113602042874
ST7L,0.10295635157059135
CAPZA1,3.779846954600446e-05
MOV10,0.35274122589981066
RHOC,4.407332505794065e-05
SLC16A1,0.03138760277288099
LRIG2,0.1651617348369961
PHTF1,0.0029290803886875575
RSBN1,0.5664857708239432
PTPN22,0.05936043073631428
AP4B1,0.5014164185748995
HIPK1,0.019062553073749693
TRIM33,0.3884107431274958
BCAS2,0.06712677427051951
NRAS,0.0340481288782918
CSDE1,0.2417874477142924
SIKE1,0.3935057128041576
ATP1A1,0.009360878708038462
CD58,0.05425918152917451
CD2,1.899148424419367e-37
FTH1P22,0.0123209185248123
CD101,0.0004525016865078115
TTF2,0.5087483638941599
MAN1A2,0.32113573591020755
FAM46C,0.016245000217119863
GDAP2,0.5503592919163846
WDR3,0.07797925627728135
WARS2,0.4762721616511062
REG4,8.464215771089383e-53
NOTCH2,0.0009880264417384012
RP11-343N15.5,0.2605578445146361
