gene_name,pval
RN7SL559P,0.05533465161863592
SPCS2P4,0.05473553291629635
DNAJC8,0.05613032161256925
AL353354.1,0.2041706222673374
ATPIF1,1.9067797780526125e-05
RP5-1092A3.4,0.7947341843705029
SESN2,0.674308052678428
PHACTR4,0.8732525778441235
SNHG3,0.07321863078269461
TRNAU1AP,0.6654713131016459
SNHG12,0.8741344322013747
SNORD99,0.6761369009202667
TAF12,0.7916000705560571
GMEB1,0.18719819470497054
YTHDF2,0.453075157685584
EPB41,0.005981934854276006
RP4-604A21.1,0.0747344008372773
SRSF4,0.019709777254834263
MECR,0.5508857024802123
LAPTM5,0.02448980185355998
PUM1,0.06173206498695349
SNRNP40,0.0009077214627175601
RP11-490K7.4,0.10724364666728198
ZCCHC17,0.8126144696630049
PEF1,0.008242158432119456
PTP4A2,0.9220411854749507
KHDRBS1,0.018336854774997715
TMEM39B,0.001268113732180586
KPNA6,0.4657645235002395
TXLNA,0.27373787976705166
CCDC28B,0.3317447887583097
TMEM234,0.06540505724396195
EIF3I,0.3639489970734333
LCK,0.012548380892186912
HDAC1,0.13605955501373154
BSDC1,0.14929541202496438
ZBTB8OS,0.8244508698560211
RBBP4,0.11761610947536452
YARS,0.20601008462150167
S100PBP,0.7174985524079247
AL031602.1,0.6642025080353254
RNF19B,0.39480285212067473
AK2,0.01374995659821381
ADC,0.056209570544064925
TRIM62,0.21233765953557615
SMIM12,0.2530398951187524
ZMYM6,0.9298391678521207
ZMYM1,0.42188707675384524
SFPQ,0.11367366462916942
ZMYM4,0.7843631161095006
ZMYM4-AS1,0.4041613846504024
KIAA0319L,0.00012360012187762054
NCDN,0.4142838685733498
RP4-728D4.2,3.879101198282413e-08
TFAP2E,0.06231456295131394
PSMB2,0.5970762760319699
C1orf216,0.7060299191679966
AGO4,0.07368625960272934
AGO1,0.39712637673648454
AGO3,0.5907452642331952
ADPRHL2,0.22650949262088418
MAP7D1,0.11752334668014126
THRAP3,0.036849550060527425
EVA1B,0.13773780633105154
STK40,0.08783457188981902
LSM10,0.6756500233141407
MRPS15,0.8400603002642735
LINC01137,0.1963582664879963
ZC3H12A,0.03946788130703098
MEAF6,0.7670158415064081
SNIP1,0.663166436453779
RP3-423B22.5,0.4210043602703745
GNL2,0.301215536393001
C1orf109,0.31339950200443534
C1orf122,0.8224911420948727
MTF1,0.33966525664591035
INPP5B,0.3965778793869078
SF3A3,0.04707022125341711
FHL3,0.7732904276025279
UTP11L,0.907667935445387
RRAGC,0.0015351437184432683
RP5-864K19.4,0.5955295448332
MYCBP,0.19422057266224613
AKIRIN1,0.758189072204593
NDUFS5,0.4170991992993161
MACF1,0.019549912227530823
RP11-420K8.1,0.7321578088443521
RP11-69E11.4,0.5245439396577198
PABPC4,0.26591570386911056
PPIE,0.8938430517894838
TRIT1,0.6027455098993287
CAP1,0.0008615832204710223
PPT1,0.002729826905878262
RLF,0.5716746043448429
RP1-39G22.7,0.3588465558326274
ZMPSTE24,0.015006063821762767
