PeakID,clonal_p,quality_p,max_height,itype,gene,gene_clonality
Interval_55979,0.6664638386648121,0.1376912378303199,16.140577,intron,SPATA5,0.8883623938022798
Interval_75635,0.8085007951424031,0.13832586381379208,109.43665,promoter-TSS,FANCG,0.21507316608493954
Interval_68377,0.0022006357392135856,0.2981821576085688,36.654125,intron,ELMO1,0.5047763137507946
Interval_7608,0.004363755162999583,0.502755905511811,45.3371,intron,GATA3,0.19354045603644757
Interval_22380,0.025817107093184966,0.9021210013908206,34.783566,TTS,NUMB,0.04189031381398357
Interval_65863,0.06063974036943953,0.6028982801670828,30.444782,intron,SGK1,0.03502180837775449
Interval_46902,0.18776715410573708,0.8160185051322828,80.70291,intron,HMGXB4,0.4189671935996837
Interval_1150,0.047904191616765956,0.15329341317365275,200.21591,promoter-TSS,SYTL1,0.41336597231210326
Interval_72064,0.859081836327345,0.38167301760116135,181.50012,promoter-TSS,EXTL3,0.14262437079340853
Interval_47447,0.02763020428123697,0.11996826359881452,28.774412,intron,ARFGAP3,0.04566774499248761
Interval_65923,0.00024451508213430007,0.35629921259842523,92.085976,intron,AHI1,0.024397601064541852
Interval_41847,0.23416760404949333,0.579152811912679,96.84345,intron,ANKRD44-IT1,0.7466015781440966
Interval_42966,0.0359368072246985,0.36687289088863895,49.600166,intron,ATG16L1,0.14031265421791164
Interval_29756,0.01721140472878957,0.15020862308762173,16.432554,TTS,CCL5,9.726007017035381e-14
Interval_24434,0.014948677172184066,0.306953881740639,101.11918,promoter-TSS,RNF111,0.23258250645334042
Interval_26765,0.0379155702160785,0.10829843223008784,17.932077,intron,PRKCB,0.2687104054570158
Interval_74486,0.13476302709261845,0.22890888638920137,51.691715,intron,SLA,0.007726966917260128
Interval_46347,0.08998155022562027,0.30200919422210815,30.72316,intron,MED15,0.18402354420139
Interval_22228,0.21818775814995472,0.34567008144120603,26.35878,intron,KIAA0247,0.12167812169891563
Interval_66509,0.021962879640044397,0.25506186726659164,58.26302,intron,ZBTB2,0.3862820149742725
Interval_34019,1.0,0.49567124822066133,28.799147,intron,MATK,0.4363294829096118
Interval_50281,0.014342837273991105,0.19419332406119616,17.970434,intron,CMSS1,0.4361532278158956
Interval_62500,0.00040769430339915314,0.9520247469066366,35.709602,intron,ATXN1,0.31524197544227806
Interval_21016,0.2780475149179049,0.5313280283760764,26.113937,promoter-TSS,HNRNPC,0.8123599019283854
Interval_78510,0.1683777473036585,0.3095882287535673,15.911552,intron,SH3KBP1,0.003364012407234981
Interval_39136,0.002868567454798465,0.5199061196105703,57.09665,promoter-TSS,AC027612.6,0.5397449818346394
Interval_26413,0.7248967400182017,0.10195318880825144,34.070946,intron,LITAF,0.8255940320709972
Interval_53233,0.026952605418524178,0.5023059617547807,40.413525,promoter-TSS,CTBP1,0.31904386978673055
Interval_52181,0.6417108335495343,0.6241799785033912,19.374043,intron,PRKCI,0.7139236367307416
Interval_50871,0.019197207678882888,0.2198952879581152,670.6757,promoter-TSS,GSK3B,0.2969491271873557
Interval_9867,0.0027106949236080924,0.9026614095613603,17.970434,intron,ENTPD1-AS1,0.3184727928864878
Interval_76065,0.0027106949236080924,0.141695416461311,24.268602,promoter-TSS,ANXA1,3.8401821328890343e-05
Interval_68786,0.4398727772155556,0.15839236663293332,99.60374,promoter-TSS,GBAS,0.376525450345097
Interval_31196,0.6113051762464278,0.27993013655128607,15.652603,intron,PRKCA,0.029806297510092176
Interval_21847,0.579386951631046,0.17224230157582765,88.73967,promoter-TSS,PRKCH,0.30324302827199184
Interval_75948,1.0,0.5108038990400652,17.932077,intron,FXN,0.3943096589078271
Interval_39076,0.00040769430339915314,0.2939817515693184,29.521835,intron,LINC00152,0.034048378941530746
Interval_30818,0.0009561891515998955,0.6695966459447737,83.98862,intron,MSI2,0.8557846053312785
Interval_36146,0.008905594911088666,0.22443255746711,134.14949,promoter-TSS,SNRNP70,0.9312579235970169
Interval_72616,0.03975712013878829,0.3891282347838658,154.2159,promoter-TSS,IMPAD1,0.39299352087245076
Interval_47784,0.0009780603285396428,0.3830427446569179,46.9578,intron,SUMF1,0.10662086329346974
Interval_54882,0.00163077721359417,0.8280633794600145,28.691322,intron,ANTXR2,0.17365950271817182
Interval_36398,0.0006361139222201828,0.17548069972531444,156.53882,intron,RPS9,0.015533394146921762
Interval_1195,0.16085489313835777,0.2163943906317768,96.79713,intron,THEMIS2,0.3276463673549649
Interval_59427,0.07047806801379941,0.2267126663380976,17.857138,intron,KIAA0825,0.26138070054672663
Interval_5899,0.3799710907675772,0.21400244616582043,16.799501,intron,PPP1R12B,0.3761712764933749
Interval_21175,0.08213670304422727,0.3522113727742676,325.22632,promoter-TSS,PPP1R3E,0.3664184732576077
Interval_40174,0.0006361139222201828,0.29972531444267747,148.53432,promoter-TSS,CCDC74A,0.4614533570433475
Interval_76018,0.021200103776731538,0.1523294169971462,17.911171,intron,TMEM2,0.7930770629182161
Interval_2845,0.043028511821974536,0.5579798331015299,18.830671,TTS,RBMXL1,0.06198282316548878
Interval_6378,0.06494294448463367,0.3027325974844235,35.86416,intron,ANGEL2,0.6223941304349033
Interval_29271,0.0009561891515998955,0.19419332406119616,26.668829,exon,SHMT1,0.6751269019471133
Interval_20836,0.5641473483645596,0.5065100031756113,16.138868,TTS,ANKRD10,0.00652512058707618
Interval_3559,0.16733310152990233,0.4962621696801113,17.707327,intron,RAP1A,0.6925767232516074
Interval_38401,0.029353989844706052,0.4078796189911419,15.493914,intron,AFTPH,0.0448554071530231
