,TPM_p,UMI_p,TPM_logp,UMI_logp
RP11-244H3.1,0.5582742423865159,0.28365306303390736,0.25315240913229947,0.5472125223353397
DYRK1A,0.5586512880371073,0.2748343533016593,0.25285919557913544,0.5609289829775953
RP11-297D21.4,0.5589352252401965,0.5677573465634012,0.2526385193957763,0.24583723746700553
ZNF140,0.5589779143466099,0.6842086105000836,0.2526053510883198,0.16481146468889454
CBLL1,0.5591778551933251,0.6383599315250059,0.25245003604237287,0.19493438052904477
NUP50,0.559547640660239,0.5531980741399565,0.2521629311284101,0.25711934047857243
PFN2,0.5596035011313297,0.7888430219186976,0.2521195770299949,0.10300941186960501
PAFAH1B2,0.5599771279427916,0.20563878659311158,0.2518297112278919,0.6868949674264329
CABIN1,0.5604577805141164,0.15029874914796212,0.25145709739612265,0.8230446337869991
RP11-304L19.5,0.5607335049048197,0.5730846773001649,0.25124349319605477,0.2417812032207495
PNRC2,0.5607716008287096,0.46321719430096675,0.25121398847164433,0.3342153282714748
TMEM79,0.5609080394902171,0.6665512244357805,0.2511083352067133,0.17616646945348996
ZDHHC13,0.5610680942523577,0.3924359466259899,0.25098442722261083,0.4062312186562695
TTC9C,0.5611989363227241,0.6377887945257994,0.2508831607898096,0.19532311525668827
C19orf25,0.561199176609896,0.2590394859111672,0.2508829748390464,0.5866340304891142
C14orf93,0.5612036422533617,0.4924460349727865,0.2508795190310554,0.30764135500931694
FAM104B,0.5613667774191297,0.5811427092187811,0.25075329318089123,0.2357172063088613
ZNF189,0.5614759461340902,0.8913003022140321,0.25066884436244374,0.049975946220009934
C9orf37,0.5615190802707325,0.4007396907418085,0.25063548193946916,0.3971376413045339
UHRF1BP1,0.5615487511741852,0.6383496722066853,0.25061253424337315,0.19494136029221382
LINC00963,0.5616014206148916,0.6240071148363797,0.250571802294868,0.20481045852821095
TTF1,0.5616964253300899,0.31907040267005604,0.2504983399913253,0.4961134795834531
USP11,0.5617807922561078,0.35117811523104653,0.25043311376346766,0.45447255634946987
CHMP2B,0.5617842620994784,0.48168265963506995,0.25043043134855436,0.3172389878154287
MEPCE,0.5618255417159497,0.8428464441813679,0.2503985207874401,0.07425154105641672
RNU6-959P,0.562021844887469,0.4193601289141259,0.25024680377309416,0.3774128628924077
SLC38A6,0.5621617970484001,0.41277770446468853,0.25013867117043126,0.3842837684773893
SNRPGP15,0.5623402888220095,0.14952246351860893,0.2500008003848298,0.8252935561736053
EIF5B,0.562437452604763,0.44079405389818627,0.24992576743700115,0.35576427254244164
PHF2,0.5625371391327243,0.7839111313136472,0.24984879981578556,0.10573316865191415
GPN1,0.5627409527382958,0.6841100326433973,0.24969147848189682,0.16487404049239662
MCF2L2,0.5628158440406938,0.40287138901861597,0.2496336850777522,0.3948335740922493
GLRX2,0.5629865621937562,0.6643661247776314,0.24950197110735486,0.17759251980464458
PCCB,0.5630773509443279,0.5959769345508217,0.24943194123956927,0.22477054796301965
PUS10,0.5631077354107652,0.5507488996887149,0.24940850671486745,0.25904636182966295
DROSHA,0.5631110718648127,0.6855087894428502,0.24940593349628398,0.16398697241049034
PDHX,0.5631533625435835,0.5794041419932177,0.24937331840541613,0.23701840447507927
HENMT1,0.5632183964179949,0.6355607353044777,0.2493231682616464,0.19684294118041434
IQGAP1,0.5633337557588334,0.5126572805518568,0.24923422444268434,0.2901728705712552
PARP11,0.5635812224063481,0.7484469568987422,0.24904348529504558,0.1258389730663697
MAF1,0.563586247603082,0.5469525979870737,0.24903961290647852,0.26205031045758875
MAVS,0.5636475199855855,0.7364809254186374,0.24899239952730967,0.13283849674084183
C11orf73,0.563955924923083,0.7870806663749814,0.2487548362837928,0.10398075535854916
ACTR8,0.5639848299200247,0.3867166841834221,0.24873257752486408,0.41260709068233
NDUFC2-KCTD14,0.5641027555846858,0.905175068740311,0.24864177878497595,0.04326741633642044
PLCB2,0.56417993986132,0.7162059725687646,0.24858235980138346,0.1449620616502232
TCIRG1,0.5642198195340156,0.7889210333032648,0.24855166230848733,0.1029664651263849
BET1,0.5642711062770303,0.3282229759529158,0.24851218737963862,0.48383102114912646
HNRNPA1L2,0.5643448267766463,0.26296465047067114,0.2484554516818795,0.5801026284583308
PIH1D1,0.5644393445894058,0.6224195787870687,0.2483827211003206,0.2059167546664224
CEACAM21,0.5646428701918467,0.5229338136662123,0.2482261513733932,0.28155327514517897
RP11-212P7.3,0.5651483770484667,0.5678748163510758,0.2478375152362645,0.2457473906267602
CTBS,0.5653990208708805,0.40115357266762164,0.2476449479348294,0.3966893356242071
PFKM,0.5654717417212818,0.5789230904119966,0.24758909316320238,0.23737912820392093
PRKAA1,0.5656334845130604,0.5699614071507094,0.24746488897634752,0.24415454999227776
RNF25,0.5656639654246676,0.6865874917234748,0.24744148630410018,0.16330411283126406
HECTD3,0.5656889284090814,0.5529301357901499,0.24742232113213022,0.2573297395047297
RUFY3,0.5657078596739582,0.6321911396169919,0.24740778733822374,0.19915159524495774
RP11-315I20.1,0.5659306859505853,0.5764779650862253,0.2472367570671411,0.23921728823806115
DNAJA2,0.565984529115888,0.6363965602346611,0.2471954398566547,0.19627217640940167
UBE3A,0.566093963823435,0.8869432906051882,0.2471114759088175,0.05210414720837875
SLAIN2,0.5661503570897453,0.5049117555500728,0.24706821442550878,0.2967845177753093
SMIM4,0.5662680497405798,0.32017556106029127,0.24697794166290843,0.4946118207668736
ADPRH,0.5663851140614888,0.5490902347291553,0.24688816945301334,0.2603562799128302
RPL15P3,0.5667349977721413,0.407652794614077,0.24661996740084502,0.38970957607682655
LEMD2,0.5671696923168998,0.7536470014310255,0.24628698447379574,0.12283202445932993
P4HA3,0.5672000889156257,0.4497786373462447,0.24626370974395573,0.3470011756299716
RNF216,0.567282605639538,0.5350679994180627,0.2462005328297638,0.2715910219125532
SYS1,0.5675909992337099,0.5998381393375818,0.24596450013162938,0.22196592407622254
PRDM2,0.567859713748459,0.5243774965902213,0.24575894082058708,0.280355954122289
NCOA4,0.5679049901312774,0.6024563089861099,0.24572431519230015,0.22007444328299194
AL162151.3,0.5685299505864989,0.5266619042856031,0.24524665141279683,0.2784680948889763
MTRNR2L12,0.5689265654646258,0.7273582547958903,0.24494378680643816,0.13825162798853707
SLC30A6,0.5692616852036099,0.6147644825916853,0.24468804588214405,0.21129123138051706
RPS3AP6,0.5692934354737773,0.35986295666166274,0.24466382401201092,0.4438628561684731
SAFB,0.5693545409098706,0.4330473511642776,0.24461721126727243,0.363464613519564
AKAP10,0.5696235144382229,0.4853365226988021,0.24441209103556216,0.31395702578809864
SMIM12,0.5697165853986106,0.6017225171680345,0.24434113732364154,0.22060373639125797
RPRD1B,0.5698547074166096,0.809734770036242,0.2442358597847666,0.0916572117048457
NOD1,0.5698935984844421,0.6036968539072007,0.24420622135306358,0.21918108741355125
SETDB2,0.5699480276820331,0.5964599475175786,0.24416474488888906,0.2244187140323899
RP11-759F5.1,0.5700124020448953,0.6909088834072284,0.24411569506247796,0.1605792233098286
NFS1,0.570041318601933,0.5628684313375779,0.2440936639933584,0.24959310820665057
MARCH2,0.5702281312757094,0.474263921802607,0.2439513612874405,0.3239799117343798
PARP10,0.5704192695937408,0.6332563151045355,0.24380581180823244,0.1984204705443199
DIDO1,0.5704703306232084,0.5364589195324658,0.24376693771673635,0.2704635294360608
ACAP3,0.5709324025357252,0.38759920210236865,0.24341530846795095,0.4116171256431894
BRF1,0.5710398185566232,0.5886160003089271,0.24333360738202264,0.23016793667842292
SLC30A7,0.5711017098895907,0.6712872423341825,0.24328653954718382,0.1730916064073855
DUS4L,0.5711185194335081,0.5961710891426961,0.2432737569121372,0.22462908856878855
FRAT2,0.5711362632130976,0.552620306266044,0.24326026425589004,0.2575731607925406
ZNF169,0.5711462636255196,0.5564383396469694,0.24325265996565593,0.254582953943342
C3orf62,0.571179348291072,0.32971960764203884,0.24322750341214938,0.48185522562743366
DHX8,0.5715825358757982,0.6560729669025387,0.24292104910542076,0.1830478567205689
MFSD9,0.5719055775213739,0.7131977703111717,0.24267566796645296,0.1467900232407494
C14orf2,0.5720394282066426,0.6173410227441906,0.24257403613278028,0.20947486290089606
ZFAND2A,0.5722450667141972,0.7751545649919007,0.24241794266047403,0.11061169100319344
LPCAT3,0.572291047699594,0.4593091289493676,0.24238304767028612,0.33789492272286437
MIR3916,0.5723957277705625,0.48928084199232846,0.24230361637381662,0.3104417888995851
KLHL24,0.572442068225716,0.513330308752197,0.24226845784910084,0.28960309277170726
USP33,0.5724529139446544,0.4586124761869158,0.24226022960815174,0.3385541348101112
ATP5J2P6,0.5727890050702211,0.41448757698944316,0.24200532708840097,0.38248848158122445
FMNL1,0.5731187705300662,0.5231135681758712,0.24175536749036708,0.28140401538168136
OSBP,0.5736303422054227,0.6542469568627143,0.24136788470450538,0.18425828874280747
LRTOMT,0.5737674897986234,0.4237728703915181,0.24126406292350555,0.3728668499291334
ZNF45,0.5738125169340507,0.7468685940914657,0.24122998244746502,0.12675580230921948
AC159540.2,0.5741362699754439,0.7569786578575008,0.2409850165313759,0.12091636476066617
RRAS,0.5741615159680161,0.6310037096217201,0.24096592009942197,0.19996808756488735
USP30-AS1,0.5744373371615903,0.4420921248645321,0.2407573396636373,0.3544872212586583
MAN1A1,0.5744629495819618,0.4031862758750554,0.24073797622023718,0.3944942593332981
GEMIN2,0.5745091339537265,0.7058303870682092,0.24070306219907722,0.15129964853772948
CTD-2545G14.7,0.5746797494337792,0.7111152326394533,0.24057410626654127,0.1480600183356784
ATPAF1,0.574725556652294,0.8270094360839814,0.24053949041408698,0.08248953516834243
CLIP1,0.5750047736250737,0.40998839473499027,0.24032854983137367,0.38722843638730714
TGFBR2,0.5753671727810894,0.8812725857670686,0.2400549201424679,0.054889739506005765
PAN2,0.5754702631155537,0.6236394940895551,0.23997711321315077,0.20506638943886668
COX17,0.5756029093859497,0.49315953047742833,0.23987701958763807,0.3070125695691368
RP11-95J11.1,0.575670192143506,0.6947863825630862,0.2398262574698949,0.1581487020782267
MOB1B,0.5757413580152244,0.26298285999647236,0.2397725721556869,0.5800725558886568
VAPA,0.5759363165035118,0.6082201551162381,0.23962553553537974,0.21593919236233944
ZNF689,0.575981562723727,0.635158724128357,0.23959141820092233,0.19711773234691668
FEN1,0.5760805249030667,0.3830338893443208,0.239516806374057,0.41676279964986024
STOML2,0.5762382043976286,0.6875023477633116,0.23939795152412066,0.16272581441564868
PIK3C3,0.5762552795231801,0.5966779851633739,0.23938508267425934,0.22425998544808046
DNASE1,0.5765825953030268,0.7244430576736645,0.2391384713441651,0.13999574505821216
BLOC1S5-TXNDC5,0.5766568378615216,0.596600380660239,0.23908255384326466,0.22431647387273496
GOLGA2P5,0.5768349910248285,0.5857170783815602,0.23894840302496592,0.23231211259704085
PLD2,0.5768849284195381,0.5816781944482007,0.23891080718456995,0.23531721642910697
ZNF322,0.5771916412676736,0.5833103759777872,0.23867996686754261,0.23410029823170495
TMEM234,0.5775023371587307,0.4977726336531255,0.23844625383740048,0.3029689835412812
CHCHD6,0.5780176116206971,0.44710866291741336,0.2380589288577376,0.3495869154131538
ZNF7,0.578174714860044,0.3948844428345627,0.23794090511930804,0.40352997571949956
PPP1R18,0.5784727091656088,0.8136116451505626,0.23771712511042972,0.08958284402282796
GTF2H4,0.578612526997166,0.639501306322007,0.23761216808373062,0.19415856404246604
ZNF880,0.5787441804771059,0.42302265646815274,0.23751336297077175,0.37363637183158466
LRP10,0.579228865608981,0.6719578154877142,0.23714980340219968,0.17265799045207117
SCO1,0.5793415434321226,0.6082461356176869,0.23706532798906002,0.2159206416001786
CRELD2,0.5796645437222004,0.7937829954920204,0.23682326325994374,0.10029820883410008
BECN1,0.5796901215498826,0.607067144185232,0.2368041003415444,0.21676327146765853
P4HB,0.5798125844307456,0.8173722934360717,0.23671236281765562,0.08758008770561328
NKRF,0.5798920739627752,0.4625378435193114,0.23665282720238712,0.3348527287427807
KATNB1,0.5799916848940975,0.4842755362627065,0.23657823269653855,0.314907469286028
MOB2,0.5801652298663476,0.36164437014986445,0.23644830264412317,0.44171829133522933
CEPT1,0.5807523019821219,0.47954366291010975,0.23600906007072892,0.31917184376418595
CWC25,0.580803521841724,0.38176558501498614,0.23597075885102473,0.4182032244801849
USP39,0.5809059320947083,0.5396215170372938,0.23589418857310215,0.2679107414607454
A1BG,0.5810830154638074,0.8983629743508588,0.23576181841451582,0.04654815564071293
NDUFA2,0.5814735652834293,0.8629072897545049,0.23547002420723218,0.06403586211897669
DDX55,0.5816795429722061,0.40809647272363914,0.23531620959085686,0.38923715892258753
TTC1,0.5817109269010976,0.5499441657176511,0.23529277830532674,0.25968140096325704
MAPK9,0.5821974380754575,0.7874427760157161,0.23492970997955065,0.10378099685721005
CCDC94,0.5822114319999641,0.6846486843062818,0.2349192712335915,0.16453222209294
GPR18,0.5823764057277849,0.5132512939546989,0.23479622825167154,0.2896699470588275
FAM118A,0.58255232412509,0.5252527883998084,0.23466506075989677,0.279631633384769
ETFDH,0.5826302182879028,0.5650139315681525,0.23460699431296483,0.24794084363440258
GOSR1,0.5827069197113945,0.7260238377794923,0.23454982458252638,0.1390491197322244
NDUFB3,0.5829578209831154,0.5910843040503784,0.2343628668138137,0.22835057297189532
ATAD3A,0.5830036338801972,0.4797314635008807,0.23432873826122758,0.31900179711319615
ZNF511,0.5830844217898682,0.484114943284385,0.23426856142765115,0.31505151168716644
MKRN2,0.5831346716179524,0.22679438395066834,0.2342311358303677,0.6443677039653435
COG5,0.5831700119399839,0.6075679641731799,0.2342048166239579,0.21640513367298794
TSSC1,0.5833634749918344,0.5192484099610624,0.23406076600289577,0.28462482468442596
PORCN-1,0.5833858405091739,0.5354450672826512,0.23404411594681673,0.27128507795958334
ZNF484,0.5835227991105345,0.36987787256843285,0.2339421707506399,0.43194164897352105
ZNF276,0.5836235310700839,0.5192746456336927,0.2338672061413857,0.2846028819691565
