,Condition,Cell_Number,Clone_ID,Day,In_Vivo_Clone_ID,Project_ID,Donor_ID,Method,Vb,D,Jb,TCR Beta,Nuc_Seq_TRB,Va,Ja,TCR Alpha,Nuc_Seq_TRA,Va2,Ja2,TCR Alpha2,Nuc_Seq_TRA_2,Notes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts
P1902_1161,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1374,7.226209010100671,7395.6895,8.908788,169.83838,5.140718,2.2964509,7395.6895
P1902_1162,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1632,7.398174092970465,8499.104,9.047833,162.91522,5.0993495,1.9168519,8499.104
P1902_1163,In_Vivo,1.0,248,136.0,,P1902,,,,,,,,,,,,,,,,,1753,7.469654172932128,9021.858,9.107516,160.44165,5.0841436,1.7783659,9021.858
P1902_1164,In_Vivo,1.0,230,136.0,,P1902,,,,,,,,,,,,,,,,,1488,7.305860032684009,7777.055,8.959062,159.97308,5.0812373,2.056988,7777.055
P1902_1165,In_Vivo,1.0,143,136.0,,P1902,,,,,,,,,,,,,,,,,1744,7.4645098346365275,8801.273,9.082766,174.29262,5.1664567,1.9803114,8801.273
P1902_1166,In_Vivo,1.0,107,136.0,,P1902,,,,,,,,,,,,,,,,,1503,7.315883504509785,7880.8594,8.972319,184.84258,5.2249,2.345462,7880.8594
P1902_1167,In_Vivo,1.0,112,136.0,,P1902,,,,,,,,,,,,,,,,,1923,7.562161631225652,9520.886,9.161348,187.88567,5.241142,1.9734052,9520.886
P1902_1168,In_Vivo,1.0,240,136.0,,P1902,,,,,,,,,,,,,,,,,1473,7.295735072749282,7619.85,8.938643,172.21558,5.1545367,2.2600913,7619.85
P1902_1169,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1908,7.554334823725748,9731.473,9.183224,168.80563,5.1346545,1.734636,9731.473
P1902_1170,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1605,7.381501894506707,8253.568,9.018522,172.99066,5.159002,2.0959501,8253.568
