,Donor,Timepoint,clone_id,DonorDay,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_YFV2003_D15_p1_J23,YFV2003,15,D653,YFV2003_D15,3115,8.044305406990638,16179.094,9.691537,126.59192,4.848837,0.7824414,16179.094,3115,0
P20407_YFV2003_D15_p1_P23,YFV2003,15,D917,YFV2003_D15,2934,7.984462732262196,15745.387,9.664366,124.097855,4.8290963,0.7881537,15745.387,2934,0
P20407_YFV2003_D15_p1_D23,YFV2003,15,D86,YFV2003_D15,5892,8.681520484837913,26103.248,10.169853,126.2919,4.8464828,0.4838168,26103.248,5892,0
P20407_YFV2003_D15_p1_L23,YFV2003,15,D165,YFV2003_D15,4533,8.419359831067474,22012.193,9.999397,131.44225,4.8861465,0.5971338,22012.193,4533,0
P20407_YFV2003_D15_p1_B23,YFV2003,15,D1539,YFV2003_D15,5358,8.58653266949485,24807.482,10.118941,129.19505,4.869034,0.52079064,24807.482,5358,0
P20407_YFV2003_D15_p1_G23,YFV2003,15,D198,YFV2003_D15,2796,7.936302693201959,15237.912,9.631607,115.03169,4.7538633,0.75490457,15237.912,2796,0
P20407_YFV2003_D15_p6_O22,YFV2003,15,D1305,YFV2003_D15,3358,8.119398589612294,17208.01,9.753188,142.39886,4.96563,0.827515,17208.01,3358,0
P20407_YFV2003_D15_p6_P22,YFV2003,15,D19,YFV2003_D15,2996,8.005367067316664,15761.269,9.665375,130.91643,4.882169,0.8306212,15761.269,2996,0
P20407_YFV2003_D15_p6_F22,YFV2003,15,D49,YFV2003_D15,3204,8.07246736935477,16707.814,9.723692,153.20744,5.0382986,0.91698074,16707.814,3204,0
P20407_YFV2003_D15_p6_E22,YFV2003,15,D153,YFV2003_D15,2601,7.86403565907245,14160.305,9.558269,127.28526,4.8542566,0.8988879,14160.305,2601,0
P20407_YFV2003_D15_p6_D22,YFV2003,15,D137,YFV2003_D15,5359,8.586719254064848,24039.203,10.087482,144.21346,4.9782047,0.5999095,24039.203,5359,0
P20407_YFV2003_D15_p6_A22,YFV2003,15,D649,YFV2003_D15,5085,8.534246945982066,23217.52,10.052706,140.67471,4.9535336,0.605899,23217.52,5085,0
P20407_YFV2003_D15_p6_M22,YFV2003,15,D502,YFV2003_D15,3763,8.23323750070527,19127.244,9.858921,124.305016,4.830751,0.64988464,19127.244,3763,0
P20407_YFV2003_D15_p6_C22,YFV2003,15,D124,YFV2003_D15,4548,8.422662707570003,21424.875,9.972355,128.51619,4.863806,0.5998457,21424.875,4548,0
P20407_YFV2003_D15_p6_L22,YFV2003,15,D127,YFV2003_D15,4309,8.368693183097793,21295.447,9.966295,164.33426,5.1079693,0.77168727,21295.447,4309,0
P20407_YFV2003_D15_p6_J22,YFV2003,15,D325,YFV2003_D15,4363,8.381144346952961,21306.709,9.966825,145.20396,4.9850025,0.68149406,21306.709,4363,0
P20407_YFV2003_D15_p6_N22,YFV2003,15,D936,YFV2003_D15,3467,8.151333337900432,17921.377,9.793805,146.04657,4.9907494,0.8149294,17921.377,3467,0
P20407_YFV2003_D15_p6_B22,YFV2003,15,D1074,YFV2003_D15,2969,7.996317231796746,15799.456,9.667794,152.0809,5.0309668,0.9625705,15799.456,2969,0
P20407_YFV2003_D15_p6_I22,YFV2003,15,D0,YFV2003_D15,1525,7.330405211844402,9626.218,9.17235,126.85199,4.8508735,1.317776,9626.218,1525,1
P20407_YFV2003_D15_p6_G22,YFV2003,15,D466,YFV2003_D15,3068,8.029107054619736,16280.094,9.69776,127.91696,4.8591685,0.7857262,16280.094,3068,0
P20407_YFV2003_D15_p7_M1,YFV2003,15,D1178,YFV2003_D15,3339,8.113726085970747,17131.781,9.748749,141.02654,4.9560137,0.82318664,17131.781,3339,0
P20407_YFV2003_D15_p7_K1,YFV2003,15,D94,YFV2003_D15,4464,8.4040244933106,21246.05,9.963973,145.88707,4.989664,0.686655,21246.05,4464,0
P20407_YFV2003_D15_p5_M1,YFV2003,15,D153,YFV2003_D15,5156,8.548110294050959,23731.06,10.074582,133.91505,4.9046454,0.56430286,23731.06,5156,0
P20407_YFV2003_D15_p5_P1,YFV2003,15,D251,YFV2003_D15,3015,8.011686729127847,16199.937,9.692824,136.10481,4.920746,0.84015644,16199.937,3015,0
P20407_YFV2003_D15_p5_G1,YFV2003,15,D436,YFV2003_D15,3483,8.155936337972394,17754.018,9.784424,139.47523,4.945031,0.78559816,17754.018,3483,0
P20407_YFV2003_D15_p5_B1,YFV2003,15,D1594,YFV2003_D15,4330,8.373553741214627,21169.44,9.9603615,156.29977,5.058153,0.7383274,21169.44,4330,0
P20407_YFV2003_D15_p7_P1,YFV2003,15,D505,YFV2003_D15,4397,8.388905171114706,20980.092,9.951377,136.45721,4.9233127,0.65041286,20980.092,4397,0
P20407_YFV2003_D15_p7_A1,YFV2003,15,D123,YFV2003_D15,3575,8.182000136293405,17828.01,9.788582,124.694,4.8338504,0.6994275,17828.01,3575,0
P20407_YFV2003_D15_p5_I1,YFV2003,15,D106,YFV2003_D15,3362,8.12058871174027,17207.602,9.753164,131.98262,4.8902183,0.7670018,17207.602,3362,0
P20407_YFV2003_D15_p7_E1,YFV2003,15,D364,YFV2003_D15,3534,8.170468578330674,18208.105,9.809677,121.5777,4.808745,0.667712,18208.105,3534,0
P20407_YFV2003_D15_p7_H1,YFV2003,15,D151,YFV2003_D15,1627,7.395107546562485,9518.178,9.161064,120.760254,4.802054,1.2687329,9518.178,1627,0
P20407_YFV2003_D15_p7_N1,YFV2003,15,D1018,YFV2003_D15,3346,8.115819701211327,17124.064,9.748299,140.47607,4.952131,0.8203431,17124.064,3346,0
P20407_YFV2003_D15_p5_C1,YFV2003,15,D423,YFV2003_D15,4909,8.499029220788566,22891.914,10.038583,130.30052,4.8774886,0.5691989,22891.914,4909,0
P20407_YFV2003_D15_p7_D1,YFV2003,15,D0,YFV2003_D15,1665,7.418180822726788,10255.462,9.235663,134.29655,4.9074693,1.3095125,10255.462,1665,1
P20407_YFV2003_D15_p5_H1,YFV2003,15,D0,YFV2003_D15,2171,7.683403681053826,12666.931,9.446829,139.13544,4.9426093,1.0984148,12666.931,2171,1
P20407_YFV2003_D15_p7_B1,YFV2003,15,D55,YFV2003_D15,2910,7.976251943745623,15461.763,9.64619,130.8246,4.881472,0.846117,15461.763,2910,0
P20407_YFV2003_D15_p5_O1,YFV2003,15,D0,YFV2003_D15,2546,7.842671474979457,14301.443,9.568186,177.68288,5.1856127,1.2424122,14301.443,2546,1
P20407_YFV2003_D15_p7_C1,YFV2003,15,D1415,YFV2003_D15,2344,7.76004068088038,13290.203,9.494858,133.68826,4.902963,1.0059159,13290.203,2344,0
P20407_YFV2003_D15_p7_F1,YFV2003,15,D139,YFV2003_D15,2879,7.965545573129992,15122.371,9.623997,129.0355,4.8678074,0.8532756,15122.371,2879,0
P20407_YFV2003_D15_p5_A1,YFV2003,15,D406,YFV2003_D15,4796,8.475746001502063,22594.5,10.025506,141.16147,4.9569635,0.6247603,22594.5,4796,0
P20407_YFV2003_D15_p7_O1,YFV2003,15,D477,YFV2003_D15,2416,7.790282380703483,13467.505,9.508109,126.094055,4.8449273,0.9362837,13467.505,2416,0
P20407_YFV2003_D15_p5_J1,YFV2003,15,D481,YFV2003_D15,5305,8.576593534697684,23785.598,10.076878,130.86203,4.8817563,0.5501734,23785.598,5305,0
P20407_YFV2003_D15_p5_N1,YFV2003,15,D771,YFV2003_D15,5956,8.692322277628687,26126.46,10.170742,148.06708,5.0043964,0.5667322,26126.46,5956,0
P20407_YFV2003_D15_p7_L1,YFV2003,15,D49,YFV2003_D15,3385,8.12740456269308,17424.2,9.765673,135.4937,4.9162784,0.77761793,17424.2,3385,0
P20407_YFV2003_D15_p7_G1,YFV2003,15,D157,YFV2003_D15,2795,7.935945103353701,14532.041,9.58418,136.21127,4.9215217,0.93731683,14532.041,2795,0
P20407_YFV2003_D15_p5_K1,YFV2003,15,D970,YFV2003_D15,5713,8.65067458279072,25332.006,10.139863,135.64215,4.9173656,0.5354576,25332.006,5713,0
P20407_YFV2003_D15_p5_L1,YFV2003,15,D0,YFV2003_D15,2925,7.98139158158007,16124.22,9.68814,167.52156,5.1270638,1.0389436,16124.22,2925,1
P20407_YFV2003_D15_p5_D1,YFV2003,15,D645,YFV2003_D15,4145,8.329899292995725,19965.959,9.9018345,140.87848,4.954971,0.70559335,19965.959,4145,0
P20407_YFV2003_D15_p7_I1,YFV2003,15,D915,YFV2003_D15,2811,7.941651252930556,15040.892,9.618594,124.67666,4.8337126,0.828918,15040.892,2811,0
P20407_YFV2003_D15_p7_J1,YFV2003,15,D19,YFV2003_D15,5021,8.52158353971753,22986.957,10.042726,126.75184,4.8500896,0.55140764,22986.957,5021,0
P20407_YFV2003_D15_p5_F1,YFV2003,15,D97,YFV2003_D15,3453,8.147288258706624,17757.484,9.784618,138.70134,4.939507,0.7810866,17757.484,3453,0
P20407_YFV2003_D15_p6_O7,YFV2003,15,D0,YFV2003_D15,2790,7.934155233536322,15527.528,9.6504345,165.48325,5.114895,1.0657411,15527.528,2790,1
P20407_YFV2003_D15_p6_P7,YFV2003,15,D57,YFV2003_D15,2694,7.899153483343097,14824.547,9.604107,142.06738,4.963316,0.9583253,14824.547,2694,0
P20407_YFV2003_D15_p6_F7,YFV2003,15,D298,YFV2003_D15,3609,8.191463051326927,18292.828,9.814319,132.0212,4.8905087,0.72171015,18292.828,3609,0
P20407_YFV2003_D15_p6_H7,YFV2003,15,D0,YFV2003_D15,2621,7.871692664323645,14639.794,9.591567,164.0184,5.106057,1.12036,14639.794,2621,1
P20407_YFV2003_D15_p6_E7,YFV2003,15,D451,YFV2003_D15,2651,7.883069351305753,14578.073,9.587342,143.17513,4.971029,0.9821265,14578.073,2651,0
P20407_YFV2003_D15_p6_D7,YFV2003,15,D1418,YFV2003_D15,2813,7.942362237674335,14964.35,9.613493,141.41248,4.958728,0.94499576,14964.35,2813,0
P20407_YFV2003_D15_p6_A7,YFV2003,15,D547,YFV2003_D15,2842,7.952615111651,15460.514,9.64611,157.2632,5.0642595,1.0171926,15460.514,2842,0
P20407_YFV2003_D15_p6_K7,YFV2003,15,D629,YFV2003_D15,4466,8.404472321352118,21436.902,9.972916,142.32487,4.965114,0.66392463,21436.902,4466,0
P20407_YFV2003_D15_p6_M7,YFV2003,15,D901,YFV2003_D15,3005,8.00836557031292,15671.855,9.659685,126.942696,4.8515825,0.81000423,15671.855,3005,0
P20407_YFV2003_D15_p6_L7,YFV2003,15,D846,YFV2003_D15,3682,8.211482916445066,18590.125,9.83044,145.67026,4.988187,0.7835895,18590.125,3682,0
P20407_YFV2003_D15_p6_J7,YFV2003,15,D1545,YFV2003_D15,2858,7.958227192322312,15399.569,9.642159,139.20364,4.943096,0.903945,15399.569,2858,0
P20407_YFV2003_D15_p6_N7,YFV2003,15,D1447,YFV2003_D15,2106,7.653020413804189,11956.552,9.389118,129.05351,4.867946,1.0793539,11956.552,2106,0
P20407_YFV2003_D15_p6_B7,YFV2003,15,D78,YFV2003_D15,5368,8.58839695042257,24380.523,10.101581,135.73872,4.9180717,0.55675066,24380.523,5368,0
P20407_YFV2003_D15_p6_I7,YFV2003,15,D280,YFV2003_D15,4653,8.445482343862237,22057.15,10.001437,130.31729,4.8776164,0.5908165,22057.15,4653,0
P20407_YFV2003_D15_p6_G7,YFV2003,15,D19,YFV2003_D15,5391,8.592671652592143,23870.303,10.080432,147.05827,4.997606,0.61607206,23870.303,5391,0
P20407_YFV2003_D15_p8_O10,YFV2003,15,D49,YFV2003_D15,3032,8.017307507688582,16165.222,9.69068,132.3577,4.893035,0.8187806,16165.222,3032,0
P20407_YFV2003_D15_p4_I10,YFV2003,15,D394,YFV2003_D15,2493,7.821643126239982,13705.064,9.525594,126.13711,4.845266,0.92036855,13705.064,2493,0
P20407_YFV2003_D15_p4_C10,YFV2003,15,D861,YFV2003_D15,3027,8.01565761455734,16101.064,9.686703,136.01375,4.920081,0.84475,16101.064,3027,0
P20407_YFV2003_D15_p8_L10,YFV2003,15,D558,YFV2003_D15,4446,8.399984990510696,20782.012,9.941891,125.421425,4.839621,0.60350955,20782.012,4446,0
P20407_YFV2003_D15_p8_N10,YFV2003,15,D28,YFV2003_D15,5565,8.624431942085836,24681.11,10.113834,144.77261,4.982048,0.5865726,24681.11,5565,0
P20407_YFV2003_D15_p8_C10,YFV2003,15,D810,YFV2003_D15,5426,8.599141774063405,24417.24,10.1030855,132.67508,4.895412,0.54336643,24417.24,5426,0
P20407_YFV2003_D15_p8_H10,YFV2003,15,D31,YFV2003_D15,3454,8.14757773620177,17500.797,9.770059,143.67761,4.974508,0.8209775,17500.797,3454,0
P20407_YFV2003_D15_p4_P10,YFV2003,15,D112,YFV2003_D15,6248,8.740176729929082,26473.184,10.183926,137.43701,4.9304156,0.51915556,26473.184,6248,0
P20407_YFV2003_D15_p4_L10,YFV2003,15,D310,YFV2003_D15,2378,7.774435510302958,13300.153,9.495606,127.05338,4.852447,0.95527756,13300.153,2378,0
P20407_YFV2003_D15_p8_A10,YFV2003,15,D504,YFV2003_D15,3363,8.120886021092838,17411.49,9.764943,147.35251,4.9995914,0.8462947,17411.49,3363,0
P20407_YFV2003_D15_p4_J10,YFV2003,15,D0,YFV2003_D15,2202,7.697575346802343,12835.786,9.460071,133.52747,4.901768,1.040275,12835.786,2202,1
P20407_YFV2003_D15_p4_N10,YFV2003,15,D74,YFV2003_D15,5303,8.576216531865699,23818.236,10.078249,131.53526,4.886849,0.55224603,23818.236,5303,0
P20407_YFV2003_D15_p4_F10,YFV2003,15,D937,YFV2003_D15,5650,8.639587799629844,25205.6,10.134861,136.8402,4.926095,0.54289603,25205.6,5650,0
P20407_YFV2003_D15_p4_E10,YFV2003,15,D74,YFV2003_D15,5642,8.63817111796914,25311.992,10.139073,132.06006,4.8908005,0.52172923,25311.992,5642,0
P20407_YFV2003_D15_p4_B10,YFV2003,15,D619,YFV2003_D15,4905,8.498214224818435,22922.475,10.039917,134.94691,4.9122643,0.58871007,22922.475,4905,0
P20407_YFV2003_D15_p8_F10,YFV2003,15,D10,YFV2003_D15,3453,8.147288258706624,17615.873,9.776612,144.14186,4.9777117,0.8182499,17615.873,3453,0
P20407_YFV2003_D15_p4_A10,YFV2003,15,D493,YFV2003_D15,5001,8.517593111437565,23221.049,10.052857,150.783,5.022452,0.6493376,23221.049,5001,0
P20407_YFV2003_D15_p4_O10,YFV2003,15,D198,YFV2003_D15,2431,7.796469243086058,13010.983,9.473626,142.77127,4.9682236,1.0973134,13010.983,2431,0
P20407_YFV2003_D15_p8_I10,YFV2003,15,D106,YFV2003_D15,3072,8.030409562130485,16043.328,9.68311,137.87537,4.933577,0.85939384,16043.328,3072,0
P20407_YFV2003_D15_p4_H10,YFV2003,15,D949,YFV2003_D15,2921,7.980023592310645,15461.544,9.646175,129.91968,4.874584,0.8402762,15461.544,2921,0
P20407_YFV2003_D15_p8_G10,YFV2003,15,D713,YFV2003_D15,3697,8.21554741194707,18413.791,9.8209095,136.66055,4.924791,0.74216413,18413.791,3697,0
P20407_YFV2003_D15_p4_G10,YFV2003,15,D1437,YFV2003_D15,4874,8.491875383431948,22479.445,10.020401,147.67789,5.001782,0.6569463,22479.445,4874,0
P20407_YFV2003_D15_p8_K10,YFV2003,15,D1636,YFV2003_D15,3169,8.061486866871327,16646.408,9.72001,154.28326,5.045251,0.9268261,16646.408,3169,0
P20407_YFV2003_D15_p8_M10,YFV2003,15,D411,YFV2003_D15,2337,7.757051142032013,13068.445,9.478032,110.17142,4.7110734,0.84303385,13068.445,2337,0
P20407_YFV2003_D15_p4_D10,YFV2003,15,D14,YFV2003_D15,3781,8.238008249218403,18869.002,9.845328,131.51263,4.886678,0.6969772,18869.002,3781,0
P20407_YFV2003_D15_p8_P10,YFV2003,15,D1212,YFV2003_D15,2945,7.988203597022576,15639.907,9.657645,148.20654,5.0053315,0.9476178,15639.907,2945,0
P20407_YFV2003_D15_p8_B10,YFV2003,15,D1216,YFV2003_D15,5519,8.616133139271142,24779.578,10.117815,155.11395,5.050586,0.62597495,24779.578,5519,0
P20407_YFV2003_D15_p8_D10,YFV2003,15,D21,YFV2003_D15,3472,8.152774052744075,17994.639,9.797885,163.32631,5.1018543,0.9076388,17994.639,3472,0
P20407_YFV2003_D15_p8_J10,YFV2003,15,D299,YFV2003_D15,4460,8.403128235128264,21830.703,9.991118,138.45491,4.9377413,0.634221,21830.703,4460,0
P20407_YFV2003_D15_p1_A16,YFV2003,15,D189,YFV2003_D15,2482,7.817222785508166,13606.096,9.518347,116.21913,4.7640452,0.8541696,13606.096,2482,0
P20407_YFV2003_D15_p1_K16,YFV2003,15,D136,YFV2003_D15,2971,7.99699040583765,15939.048,9.67659,135.03363,4.9129024,0.8471875,15939.048,2971,0
P20407_YFV2003_D15_p1_F16,YFV2003,15,D862,YFV2003_D15,2904,7.974188669286011,15126.973,9.624301,111.029,4.7187576,0.7339803,15126.973,2904,0
P20407_YFV2003_D15_p1_N16,YFV2003,15,D1573,YFV2003_D15,2866,7.96102146588337,15478.088,9.647245,127.312386,4.854468,0.822533,15478.088,2866,0
P20407_YFV2003_D15_p1_C16,YFV2003,15,D1113,YFV2003_D15,3445,8.144969417087875,17793.627,9.786652,125.17498,4.83767,0.7034821,17793.627,3445,0
P20407_YFV2003_D15_p1_M16,YFV2003,15,D208,YFV2003_D15,6547,8.786914938491025,27704.164,10.229374,134.91833,4.912054,0.4869966,27704.164,6547,0
P20407_YFV2003_D15_p1_E16,YFV2003,15,D1802,YFV2003_D15,2686,7.8961806086154915,14650.9,9.592325,120.79656,4.802352,0.82449925,14650.9,2686,0
P20407_YFV2003_D15_p1_H16,YFV2003,15,D667,YFV2003_D15,5008,8.518991573357617,23510.812,10.065258,131.13155,4.883798,0.5577499,23510.812,5008,0
P20407_YFV2003_D15_p1_J16,YFV2003,15,D1555,YFV2003_D15,2829,7.948031990637284,14825.376,9.604163,119.31365,4.790102,0.8047935,14825.376,2829,0
P20407_YFV2003_D15_p1_P16,YFV2003,15,D996,YFV2003_D15,3404,8.133000218583613,17414.271,9.765102,129.96901,4.874961,0.7463362,17414.271,3404,0
P20407_YFV2003_D15_p1_D16,YFV2003,15,D403,YFV2003_D15,3430,8.14060704285845,17605.592,9.776029,123.06475,4.8208036,0.6990095,17605.592,3430,0
P20407_YFV2003_D15_p1_L16,YFV2003,15,D442,YFV2003_D15,5514,8.615226931687603,24867.973,10.121376,121.895996,4.8113384,0.49017262,24867.973,5514,0
P20407_YFV2003_D15_p1_B16,YFV2003,15,D460,YFV2003_D15,3946,8.280711075662847,19759.357,9.891433,126.663795,4.8494,0.6410319,19759.357,3946,0
P20407_YFV2003_D15_p1_G16,YFV2003,15,D1085,YFV2003_D15,5398,8.593969030218288,24595.08,10.110342,136.7471,4.9254193,0.55599374,24595.08,5398,0
P20407_YFV2003_D15_p3_O20,YFV2003,15,D179,YFV2003_D15,5199,8.556413904569519,23963.271,10.084319,137.17897,4.92855,0.5724551,23963.271,5199,0
P20407_YFV2003_D15_p3_E20,YFV2003,15,D147,YFV2003_D15,4678,8.450839690866216,21991.752,9.998468,143.4196,4.972723,0.65215176,21991.752,4678,0
P20407_YFV2003_D15_p3_L20,YFV2003,15,D294,YFV2003_D15,3331,8.111328003286733,17318.854,9.759608,122.25374,4.814245,0.7058997,17318.854,3331,0
P20407_YFV2003_D15_p3_N20,YFV2003,15,D4,YFV2003_D15,3213,8.075271546297458,16723.256,9.724615,132.7783,4.896184,0.793974,16723.256,3213,0
P20407_YFV2003_D15_p3_C20,YFV2003,15,D1253,YFV2003_D15,5206,8.557759153162898,23419.145,10.061352,138.05919,4.9349,0.58951426,23419.145,5206,0
P20407_YFV2003_D15_p3_H20,YFV2003,15,D433,YFV2003_D15,4544,8.421783006611578,21691.771,9.984735,132.07204,4.8908906,0.60885775,21691.771,4544,0
P20407_YFV2003_D15_p3_F20,YFV2003,15,D74,YFV2003_D15,3953,8.282483003730562,19551.51,9.880859,144.38426,4.97938,0.7384814,19551.51,3953,0
P20407_YFV2003_D15_p3_I20,YFV2003,15,D15,YFV2003_D15,3638,8.19946419761216,18297.537,9.814576,135.8937,4.9192047,0.7426885,18297.537,3638,0
P20407_YFV2003_D15_p3_G20,YFV2003,15,D266,YFV2003_D15,5018,8.520985989654934,23069.82,10.046324,135.67592,4.9176126,0.58810997,23069.82,5018,0
P20407_YFV2003_D15_p3_K20,YFV2003,15,D49,YFV2003_D15,6076,8.712266432135355,26676.352,10.19157,138.91888,4.941063,0.5207567,26676.352,6076,0
P20407_YFV2003_D15_p3_P20,YFV2003,15,D1047,YFV2003_D15,4471,8.405591014834934,21338.146,9.968299,125.226364,4.838077,0.58686614,21338.146,4471,0
P20407_YFV2003_D15_p3_B20,YFV2003,15,D662,YFV2003_D15,1891,7.545389749611823,11251.001,9.328301,197.83376,5.292469,1.7583659,11251.001,1891,0
P20407_YFV2003_D15_p3_D20,YFV2003,15,D1291,YFV2003_D15,5452,8.60392119492606,24212.303,10.094658,149.39394,5.013258,0.6170166,24212.303,5452,0
P20407_YFV2003_D15_p3_J20,YFV2003,15,D277,YFV2003_D15,5288,8.57338447106598,24160.451,10.092514,148.33069,5.006163,0.61394006,24160.451,5288,0
P20407_YFV2003_D15_p7_M24,YFV2003,15,D378,YFV2003_D15,3453,8.147288258706624,17842.928,9.789418,113.21193,4.7380557,0.6344919,17842.928,3453,0
P20407_YFV2003_D15_p7_K24,YFV2003,15,D232,YFV2003_D15,2599,7.8632667240095735,14233.125,9.563397,107.64308,4.688068,0.75628567,14233.125,2599,0
P20407_YFV2003_D15_p5_M24,YFV2003,15,D212,YFV2003_D15,3528,8.16876982367527,18042.023,9.800514,145.61821,4.987832,0.8071058,18042.023,3528,0
P20407_YFV2003_D15_p5_G24,YFV2003,15,D106,YFV2003_D15,3565,8.179199798423086,17824.338,9.788376,142.41705,4.965757,0.79900336,17824.338,3565,0
P20407_YFV2003_D15_p5_B24,YFV2003,15,D1756,YFV2003_D15,2816,7.943427767876373,15068.393,9.620421,152.92099,5.0364394,1.0148461,15068.393,2816,0
P20407_YFV2003_D15_p7_A24,YFV2003,15,D727,YFV2003_D15,3917,8.273336598504486,19571.445,9.881878,142.7145,4.9678288,0.7291975,19571.445,3917,0
P20407_YFV2003_D15_p5_E24,YFV2003,15,D583,YFV2003_D15,3329,8.110727582974489,17174.555,9.751243,136.35992,4.9226046,0.7939648,17174.555,3329,0
P20407_YFV2003_D15_p5_I24,YFV2003,15,D191,YFV2003_D15,3294,8.100161446936607,16988.04,9.740324,139.48601,4.945108,0.8210836,16988.04,3294,0
P20407_YFV2003_D15_p7_E24,YFV2003,15,D0,YFV2003_D15,2476,7.814803429489359,14035.563,9.549421,143.71059,4.9747357,1.0239033,14035.563,2476,1
P20407_YFV2003_D15_p7_H24,YFV2003,15,D1713,YFV2003_D15,3960,8.284251797621916,19352.803,9.870645,124.60997,4.833182,0.6438859,19352.803,3960,0
P20407_YFV2003_D15_p7_N24,YFV2003,15,D1093,YFV2003_D15,4635,8.441607204459642,21976.94,9.997794,134.96469,4.912395,0.6141196,21976.94,4635,0
P20407_YFV2003_D15_p5_C24,YFV2003,15,D530,YFV2003_D15,2399,7.783224016336037,13394.5,9.502674,127.91631,4.8591633,0.9549913,13394.5,2399,0
P20407_YFV2003_D15_p7_D24,YFV2003,15,D1075,YFV2003_D15,4036,8.30325712085294,19633.176,9.885027,135.38087,4.9154515,0.6895516,19633.176,4036,0
P20407_YFV2003_D15_p5_H24,YFV2003,15,D0,YFV2003_D15,3304,8.103191752285786,17472.951,9.768467,146.61435,4.994603,0.8390932,17472.951,3304,1
P20407_YFV2003_D15_p7_B24,YFV2003,15,D287,YFV2003_D15,3001,8.007034012193408,15809.876,9.668453,135.5106,4.9164023,0.85712636,15809.876,3001,0
P20407_YFV2003_D15_p5_O24,YFV2003,15,D1331,YFV2003_D15,3532,8.169902647359145,17783.766,9.786098,141.92036,4.9622874,0.7980333,17783.766,3532,0
P20407_YFV2003_D15_p7_C24,YFV2003,15,D525,YFV2003_D15,4259,8.357024439263416,20730.523,9.939411,130.90132,4.882054,0.6314424,20730.523,4259,0
P20407_YFV2003_D15_p7_F24,YFV2003,15,D1748,YFV2003_D15,4236,8.351610750626559,20446.459,9.925614,132.39824,4.893339,0.6475363,20446.459,4236,0
P20407_YFV2003_D15_p5_A24,YFV2003,15,D1480,YFV2003_D15,2595,7.86172707782398,14471.927,9.580035,145.58401,4.987599,1.0059754,14471.927,2595,0
P20407_YFV2003_D15_p7_O24,YFV2003,15,D393,YFV2003_D15,3381,8.126222529458525,17499.121,9.769963,118.02611,4.7793427,0.6744688,17499.121,3381,0
P20407_YFV2003_D15_p5_J24,YFV2003,15,D1080,YFV2003_D15,3009,8.009695357742922,16005.905,9.680776,141.91861,4.9622755,0.8866641,16005.905,3009,0
P20407_YFV2003_D15_p5_N24,YFV2003,15,D25,YFV2003_D15,4819,8.480529207044645,22499.053,10.021273,123.45048,4.823908,0.5486919,22499.053,4819,0
P20407_YFV2003_D15_p7_L24,YFV2003,15,D90,YFV2003_D15,4182,8.338783971442199,20466.773,9.926607,122.68452,4.8177342,0.59943265,20466.773,4182,0
P20407_YFV2003_D15_p7_G24,YFV2003,15,D549,YFV2003_D15,4009,8.296546520300614,19565.74,9.881586,133.07387,4.898391,0.68013716,19565.74,4009,0
P20407_YFV2003_D15_p5_K24,YFV2003,15,D594,YFV2003_D15,3869,8.261009786023827,18910.006,9.847499,142.90955,4.969185,0.75573504,18910.006,3869,0
P20407_YFV2003_D15_p5_L24,YFV2003,15,D608,YFV2003_D15,5206,8.557759153162898,23696.957,10.073144,141.11002,4.9566016,0.59547734,23696.957,5206,0
P20407_YFV2003_D15_p5_D24,YFV2003,15,D10,YFV2003_D15,3908,8.271036865792954,19064.75,9.855649,155.21968,5.0512633,0.814171,19064.75,3908,0
P20407_YFV2003_D15_p7_I24,YFV2003,15,D482,YFV2003_D15,3094,8.037543185118697,15884.792,9.673181,122.79167,4.8186,0.773014,15884.792,3094,0
P20407_YFV2003_D15_p7_J24,YFV2003,15,D0,YFV2003_D15,1915,7.557994958530806,11406.576,9.342033,138.65855,4.9392004,1.2156019,11406.576,1915,1
P20407_YFV2003_D15_p5_F24,YFV2003,15,D86,YFV2003_D15,3085,8.034631032923107,16161.069,9.690422,138.13762,4.9354634,0.85475546,16161.069,3085,0
P20407_YFV2003_D15_p6_O21,YFV2003,15,D462,YFV2003_D15,4511,8.414495793177895,21329.93,9.967914,136.40715,4.9229484,0.6395105,21329.93,4511,0
P20407_YFV2003_D15_p6_P21,YFV2003,15,D210,YFV2003_D15,3173,8.062747901086354,16472.852,9.70953,138.97845,4.9414887,0.8436819,16472.852,3173,0
P20407_YFV2003_D15_p6_F21,YFV2003,15,D0,YFV2003_D15,3546,8.173857454773621,18064.174,9.801742,123.4257,4.8237085,0.68326235,18064.174,3546,1
P20407_YFV2003_D15_p6_H21,YFV2003,15,D0,YFV2003_D15,1653,7.4109518755836366,10195.273,9.229777,150.71452,5.022001,1.4782784,10195.273,1653,1
P20407_YFV2003_D15_p6_D21,YFV2003,15,D124,YFV2003_D15,3850,8.25608813381491,19139.6,9.859567,123.66547,4.825634,0.6461236,19139.6,3850,0
P20407_YFV2003_D15_p6_A21,YFV2003,15,D533,YFV2003_D15,3889,8.266164436612492,19258.97,9.865784,140.31192,4.9509697,0.7285536,19258.97,3889,0
P20407_YFV2003_D15_p6_K21,YFV2003,15,D298,YFV2003_D15,3439,8.143226750367445,17729.072,9.783017,135.2973,4.9148383,0.7631381,17729.072,3439,0
