,Donor,Timepoint,clone_id,DonorDay,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_YFV2003_D15_p8_B22,YFV2003,15,D237,YFV2003_D15,3691,8.213923595622743,18406.518,9.820515,141.66255,4.960482,0.7696325,18406.518,3691,0
P20407_YFV2003_D15_p8_D22,YFV2003,15,D428,YFV2003_D15,2849,7.955074273262696,15419.348,9.643443,117.13923,4.771864,0.7596899,15419.348,2849,0
P20407_YFV2003_D15_p8_J22,YFV2003,15,D270,YFV2003_D15,3823,8.249052274171293,18947.27,9.849468,136.7259,4.9252653,0.7216127,18947.27,3823,0
P20407_YFV2003_D15_p3_O4,YFV2003,15,D235,YFV2003_D15,2954,7.991253929840199,15820.101,9.6691,134.71309,4.910543,0.85153115,15820.101,2954,0
P20407_YFV2003_D15_p3_L4,YFV2003,15,D466,YFV2003_D15,3858,8.258163361537619,19056.459,9.855214,141.24165,4.957527,0.7411747,19056.459,3858,0
P20407_YFV2003_D15_p3_N4,YFV2003,15,D0,YFV2003_D15,1714,7.44716835960004,10474.844,9.256827,162.3974,5.096185,1.5503563,10474.844,1714,1
P20407_YFV2003_D15_p3_C4,YFV2003,15,D359,YFV2003_D15,5873,8.678291111758565,25579.824,10.149598,129.08125,4.8681593,0.5046213,25579.824,5873,0
P20407_YFV2003_D15_p3_H4,YFV2003,15,D171,YFV2003_D15,3602,8.189522110748094,18223.152,9.810503,122.47977,4.816077,0.6721108,18223.152,3602,0
P20407_YFV2003_D15_p3_F4,YFV2003,15,D0,YFV2003_D15,2510,7.828436359157585,14209.012,9.561702,147.73982,5.0021987,1.0397614,14209.012,2510,1
P20407_YFV2003_D15_p3_K4,YFV2003,15,D1232,YFV2003_D15,2922,7.980365765111246,15501.906,9.648783,133.82,4.9039407,0.86324877,15501.906,2922,0
P20407_YFV2003_D15_p3_M4,YFV2003,15,D0,YFV2003_D15,1722,7.45182223652793,10514.572,9.2606125,164.15854,5.106906,1.561248,10514.572,1722,1
P20407_YFV2003_D15_p3_P4,YFV2003,15,D451,YFV2003_D15,3050,8.02322468471667,16085.622,9.685743,121.765526,4.810276,0.75698364,16085.622,3050,0
P20407_YFV2003_D15_p3_B4,YFV2003,15,D1165,YFV2003_D15,3619,8.194229304819817,17917.332,9.79358,155.16495,5.050913,0.8660047,17917.332,3619,0
P20407_YFV2003_D15_p3_D4,YFV2003,15,D334,YFV2003_D15,2728,7.911690520708339,14671.4,9.593723,136.93846,4.926808,0.9333701,14671.4,2728,0
P20407_YFV2003_D15_p7_M6,YFV2003,15,D1191,YFV2003_D15,3883,8.264620829411216,19088.396,9.856889,116.64702,4.7676888,0.61108863,19088.396,3883,0
P20407_YFV2003_D15_p7_K6,YFV2003,15,D74,YFV2003_D15,5527,8.617581365447506,24738.377,10.116152,119.04842,4.787895,0.48122975,24738.377,5527,0
