,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_JH_D15_p3_H8,,,C48,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3246,8.085486772102845,17736.95,9.783462,133.1681,4.8990936,0.7507949,17736.95,3246,0
P20407_JH_D15_p3_E8,,,C174,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3691,8.213923595622743,19578.055,9.8822155,131.93481,4.8898587,0.6738913,19578.055,3691,0
P20407_JH_D15_p3_C8,,,C261,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4900,8.497194544909547,24013.566,10.086416,154.2104,5.0447817,0.6421803,24013.566,4900,0
P20407_JH_D15_p3_D8,,,C135,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2981,8.000349495324684,16556.219,9.714578,159.0258,5.075335,0.9605201,16556.219,2981,0
P20407_JH_D15_p3_J8,,,C92,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4456,8.402231172946555,22284.305,10.0116825,145.68736,4.9883037,0.6537667,22284.305,4456,0
P20407_JH_D15_p3_M8,,,C77,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3849,8.25582842728183,20238.234,9.915379,135.57996,4.91691,0.6699199,20238.234,3849,0
P20407_JH_D15_p3_K8,,,C0,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2681,7.894318063841624,15577.364,9.653638,130.93289,4.882293,0.8405331,15577.364,2681,1
P20407_JH_D15_p3_L8,,,C297,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3725,8.223090551161533,19643.604,9.885558,132.76872,4.8961124,0.6758878,19643.604,3725,0
P20407_JH_D15_p3_B8,,,C33,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3685,8.212297138229768,19560.457,9.881316,154.61847,5.047407,0.7904645,19560.457,3685,0
P20407_JH_D15_p3_F5,,,C47,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3421,8.137980454452139,18503.365,9.825762,141.86674,4.961912,0.76670784,18503.365,3421,0
P20407_JH_D15_p3_I5,,,C26,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3550,8.174984532943087,18863.717,9.845049,134.7778,4.91102,0.71448165,18863.717,3550,0
P20407_JH_D15_p3_A5,,,C391,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4481,8.407824654360873,22540.51,10.023114,151.72264,5.0286236,0.67311096,22540.51,4481,0
P20407_JH_D15_p3_G5,,,C60,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4423,8.39479954320217,22160.758,10.006124,131.06738,4.883312,0.5914391,22160.758,4423,0
P20407_JH_D15_p3_H5,,,C107,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3212,8.074960359115858,17674.936,9.77996,136.25877,4.921868,0.77091527,17674.936,3212,0
P20407_JH_D15_p3_C5,,,C26,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3468,8.15162164696975,18492.898,9.825196,146.81108,4.995935,0.7938782,18492.898,3468,0
P20407_JH_D15_p3_D5,,,C105,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2328,7.753194269884341,13663.829,9.52258,149.1487,5.0116262,1.0915586,13663.829,2328,0
P20407_JH_D15_p3_J5,,,C75,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2750,7.919719760924575,15513.289,9.649517,128.06136,4.860288,0.8254945,15513.289,2750,0
P20407_JH_D15_p3_M5,,,C5,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,5172,8.551208070003515,24876.12,10.121704,145.85374,4.989437,0.58632034,24876.12,5172,0
P20407_JH_D15_p3_K5,,,C23,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2518,7.831617276352611,14735.56,9.598086,116.81682,4.769131,0.79275453,14735.56,2518,0
P20407_JH_D15_p3_L5,,,C0,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,1794,7.492760300922379,11056.039,9.3108225,143.10562,4.9705467,1.2943661,11056.039,1794,1
P20407_JH_D15_p3_B5,,,C0,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,1532,7.334981878871814,10046.536,9.215083,118.180145,4.7806363,1.1763272,10046.536,1532,1
P20407_JH_D15_p1_F15,,,C26,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3487,8.15708378502887,18793.88,9.84134,144.93207,4.9831414,0.77116627,18793.88,3487,0
P20407_JH_D15_p1_N15,,,C42,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3880,8.263848131368906,20161.66,9.911588,138.71408,4.939598,0.6880092,20161.66,3880,0
P20407_JH_D15_p2_F15,,,C573,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2743,7.917171988845776,15673.275,9.659776,128.77293,4.865786,0.8216083,15673.275,2743,0
P20407_JH_D15_p1_O15,,,C512,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3511,8.163940954755008,18910.133,9.8475065,136.7032,4.925101,0.7229098,18910.133,3511,0
P20407_JH_D15_p1_H15,,,C438,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2260,7.72356247227797,13277.901,9.493932,127.18721,4.853492,0.9578864,13277.901,2260,0
P20407_JH_D15_p1_D15,,,C42,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3807,8.244859395911256,20125.238,9.90978,121.62581,4.8091373,0.60434467,20125.238,3807,0
P20407_JH_D15_p1_C15,,,C99,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3544,8.173293438966228,18954.88,9.84987,146.54703,4.994147,0.7731361,18954.88,3544,0
P20407_JH_D15_p1_E15,,,C203,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4256,8.356319965828153,21859.088,9.992417,124.96104,4.835973,0.5716663,21859.088,4256,0
P20407_JH_D15_p1_L15,,,C430,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3171,8.06211758275474,17248.406,9.755533,138.94084,4.94122,0.8055286,17248.406,3171,0
P20407_JH_D15_p1_B15,,,C448,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3456,8.148156439921625,18519.938,9.826657,130.25258,4.8771234,0.70331,18519.938,3456,0
P20407_JH_D15_p2_D15,,,C192,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2083,7.642044402873258,12265.147,9.414598,126.1262,4.8451805,1.0283301,12265.147,2083,0
P20407_JH_D15_p1_K15,,,C65,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4386,8.386400901166214,22114.41,10.00403,129.58055,4.87199,0.58595526,22114.41,4386,0
P20407_JH_D15_p1_I15,,,C335,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4060,8.309184527686298,20990.725,9.951883,141.41376,4.9587364,0.6736964,20990.725,4060,0
P20407_JH_D15_p1_J15,,,C220,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3360,8.119993827725105,18288.717,9.814095,136.7367,4.925344,0.74765605,18288.717,3360,0
P20407_JH_D15_p1_M15,,,C26,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3558,8.177234885510194,18947.92,9.849503,139.57967,4.9457746,0.73664904,18947.92,3558,0
P20407_JH_D15_p1_G15,,,C35,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,5068,8.53089883847235,24492.422,10.10616,149.2415,5.012244,0.60933745,24492.422,5068,0
