,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_A30_D14_p4_A15,,,B254,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2755,7.9215356321335495,15026.305,9.617624,135.23825,4.9144053,0.90001,15026.305,2755,0
P20407_A30_D14_p4_C15,,,B205,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2653,7.8838232148921525,14588.102,9.58803,119.9199,4.7951283,0.8220391,14588.102,2653,0
P20407_A30_D14_p4_K15,,,B867,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2180,7.687538766201629,12606.83,9.442073,116.65639,4.7677684,0.92534274,12606.83,2180,0
P20407_A30_D14_p4_G15,,,B192,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2854,7.956827122090111,15625.592,9.65673,117.451935,4.774507,0.7516639,15625.592,2854,0
P20407_A30_D14_p4_O15,,,B243,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2733,7.913521017283895,15071.763,9.620645,118.06099,4.779636,0.78332573,15071.763,2733,0
P20407_A30_D14_p4_F15,,,B534,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2710,7.905072849498666,15054.143,9.619475,128.78453,4.8658757,0.85547566,15054.143,2710,0
P20407_A30_D14_p4_L15,,,B486,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3428,8.14002395246292,17848.934,9.789755,129.03746,4.8678226,0.7229421,17848.934,3428,0
P20407_A30_D14_p4_E15,,,B516,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2374,7.772752716468742,13545.613,9.513892,120.88913,4.803112,0.89245963,13545.613,2374,0
P20407_A30_D14_p3_N6,,,B1053,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3686,8.212568398234145,18787.133,9.840981,144.22748,4.9783015,0.76769286,18787.133,3686,0
P20407_A30_D14_p3_A6,,,B70,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2977,7.999007213243955,15792.587,9.667359,140.96188,4.955559,0.89258265,15792.587,2977,0
P20407_A30_D14_p3_O6,,,B0,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,1479,7.299797366758161,9158.982,9.1226,171.44597,5.150084,1.8718889,9158.982,1479,1
P20407_A30_D14_p3_H6,,,B259,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3345,8.11552088154677,17559.855,9.773428,119.8077,4.7942,0.6822818,17559.855,3345,0
