,TPM_p,UMI_p,TPM_logp,UMI_logp
ZBTB40,0.6040674609139256,0.5734752459610676,0.218914557626155,0.24148532366425357
C19orf43,0.6042101241622273,0.36116015469431,0.21881200195093434,0.4423001696290968
RFC4,0.6043518705986032,0.7505684846213595,0.21871012931933312,0.1246096749913926
RP11-305M3.2,0.6044626764863261,0.5701699403418902,0.21863051018197033,0.24399568265575106
SRSF6,0.6045075536322619,0.7002603921155918,0.2185982680367679,0.1547404373705597
RP11-304L19.5,0.6049943049826445,0.6244278135170127,0.21824871349009786,0.20451776065776653
FAM162A,0.6051803880229629,0.5173756767999553,0.21811515452759422,0.28619399247271304
DCAF11,0.605198457578076,0.37748362391186885,0.21810218749978277,0.4231018842969824
DYRK1A,0.6052529259918547,0.3479038724925545,0.21806310235868726,0.4585407371253987
ZNF202,0.6054100339101555,0.5636675908387623,0.2179503854347799,0.2489769350654232
GLYCTK,0.6056395269581774,0.43098397068049377,0.2177857884293318,0.3655388819841987
SLC35B2,0.6056698011569022,0.61677323608634,0.21776407982501778,0.20987448008064533
SRP72,0.605839638889853,0.5533045470700206,0.21764231504418394,0.2570357607287277
SLC38A6,0.6062501904689699,0.4554535789165781,0.21734811194496306,0.3415558809253232
ZNF511,0.6063625721864796,0.4681570181096443,0.21726761343558876,0.3296084617514924
ILF3-AS1,0.6064244263915916,0.759223284063065,0.21722331391717797,0.11963048131700856
TPP1,0.6064391888834308,0.46258240985072496,0.21721274179898675,0.33481088572452217
DPP3,0.6065000782473229,0.9029628105484953,0.2171691387671059,0.044330136182806824
RP5-886K2.3,0.6065631775904112,0.43470129857235706,0.2171239577818476,0.36180906245014144
ARFGAP1,0.6067138618521224,0.617642442733105,0.2170160824300856,0.20926286809419703
ENOSF1,0.6068413071170746,0.5469189411038617,0.21692486486217902,0.26207703571396357
MBD1,0.6069655292373185,0.7010966508027386,0.21683597265968882,0.15422210754417062
MYH11,0.6069968183778174,0.8667376346271993,0.2168135853079034,0.0621123455198277
PDIA6,0.6071867378501759,0.6122779765126948,0.21667772285267436,0.21305136174837033
MUL1,0.6071956589314789,0.5956825122809211,0.21667134203491406,0.2249851494921881
C2orf43,0.6073725783516912,0.5128205140197413,0.2165448194960816,0.29003461034692235
MAD2L1,0.6073910800784614,0.4572698409693875,0.2165315902596176,0.33982744137571036
C11orf73,0.6074715366675553,0.8352499333653037,0.21647406630218302,0.07818355033704096
LTBP4,0.6075712209612556,0.46495599640108476,0.21640280570083908,0.33258814694763195
ACBD5,0.6078555095459262,0.7319626858379524,0.21619964254382912,0.1355110579412348
LSM14B,0.607904631493879,0.4097957831025729,0.21616454780724792,0.3874325149067758
SPDYE1,0.608132222493786,0.311275736473867,0.21600198445035557,0.5068547306704979
RPIA,0.608170393917773,0.7243838668908829,0.21597472538080215,0.14003123063612355
CES2,0.6084095891262318,0.8446199799723106,0.21580394966211902,0.07333864930337929
SPAG7,0.6084446191011417,0.7415385242376457,0.21577894531121827,0.129866281683175
ESRRA,0.6086735125812714,0.6879215781499292,0.21561559686713833,0.16246106774989388
FAM115C,0.6091381638913961,0.6522867144455686,0.21528419010911964,0.1855614669500515
PQBP1-1,0.6091458863114121,0.5280652203251266,0.21527868432514527,0.27731243527288135
MAPK14,0.6091458932429537,0.3422884723781236,0.2152786793832581,0.4656077268243553
FAM46C,0.6096319898164142,0.5785735320737359,0.2149322519108626,0.2376414378453936
PLRG1,0.6099292999113588,0.5016370468803589,0.2147205034119654,0.2996103974931585
ZNF767,0.6100446072319694,0.6475253137470629,0.21463840766726114,0.18874324901385223
POLR2J4,0.6105933499961889,0.3006752666203439,0.21424792993530453,0.5219022952519572
HIATL2,0.6108750623121438,0.5142153515418041,0.21404760366367953,0.2888549619398082
SLC25A40,0.6109946727801014,0.5497046815667983,0.2139625763242081,0.25987056434413053
KATNB1,0.6110032599832971,0.47978376328899264,0.21395647259053896,0.3189544533946807
GDI1-1,0.6110047810353046,0.22281672952295536,0.21395539144463582,0.6520522045811543
PI4KA,0.61103012665063,0.7894479440408586,0.21393737647500022,0.10267650195861107
PSTPIP1,0.6112121152124592,0.518213906661644,0.2138080459281594,0.28549093657332303
AFG3L2,0.611376834939273,0.6045790850891007,0.21369102071074714,0.2185468809549345
CTD-2192J16.24,0.6113962897641023,0.3460833640280111,0.21367720110202365,0.46081927641948445
SEC24B,0.6115592986295768,0.6376468729230133,0.21356142608636816,0.1954197657907455
SLC3A1,0.6116272877197909,0.5327522444701592,0.21351314680163835,0.2734747119395199
NUP93,0.6118673772397865,0.41831984595106364,0.21334270134237893,0.3784915311100687
RRM1,0.612045410686775,0.8366317611100875,0.2132163541958675,0.0774656522906244
ABI1,0.6120500973208806,0.3766879549348693,0.213213028672136,0.4240182666800748
C14orf2,0.6124547022182444,0.6209874784115457,0.21292602664366342,0.2069171568469246
PRPF39,0.6124739397216585,0.9007629239513347,0.21291238545462923,0.04538949799753019
NCOA4,0.6125648134440684,0.6450128892223204,0.2128479532786462,0.1904316068186856
TBC1D24,0.6125849170425586,0.5478415482411337,0.21283370051969894,0.2613450339885819
SNHG1,0.6128864499031326,0.6283744953579915,0.2126199802098904,0.20178145054179175
TTC13,0.6133549794008127,0.6715460274015239,0.21228810464201162,0.17292421566622695
RP11-571M6.15,0.6133917225581534,0.7172737907962208,0.2122620889201677,0.1443150380067941
ALG8,0.6134336493251586,0.5602654007318998,0.21223240488529396,0.2516061966207397
FAM105B,0.613727587160513,0.45597263339979177,0.2120243546657093,0.34106122207265727
ABL1,0.6139204757551672,0.6937727335220238,0.21188788159089214,0.15878277268885993
UQCRC1,0.6139573186846756,0.42658523660570324,0.21186181925625275,0.36999417882476243
LINC01137,0.6142162948624129,0.3311511809398746,0.2116786661167258,0.4799736918483885
GPATCH8,0.6142400740554483,0.5626330805406503,0.21166185286624012,0.2497747366679689
UBA3,0.6144990644451591,0.20570897775196334,0.21147877397624837,0.6867467539880441
ILF2,0.6147926205265389,0.5895580552252755,0.21127135406077283,0.22947342242207955
RP11-43F13.1,0.6148991190309061,0.9318059195248528,0.21119612917081806,0.030674534917189154
RAB33A,0.6150983139131044,0.8239376078300742,0.21105546344810783,0.08410567374101845
MCM9,0.6151594986183047,0.512723500980969,0.2110122657059816,0.29011677596228524
TLK1,0.6151668113287018,0.10483005660521594,0.21100710305970222,0.9795141796968542
SDR39U1,0.615255836211684,0.5516222688227785,0.21094425796240815,0.2583582098064918
CPNE3,0.61547786099877,0.7421935675732197,0.2107875642095,0.12948281390472627
KIAA2018,0.6155514153473233,0.5191061484853741,0.21073566577239786,0.28474382714608576
MED31,0.615897025895715,0.6518582536814609,0.21049189306869706,0.18584683116462372
DCUN1D4,0.6159011887928112,0.5930115445256232,0.21048895764759312,0.22693685187187332
ATAD3A,0.6160924893288545,0.5140666817934177,0.21035408557912091,0.2889805431513959
DIEXF,0.6161447305473606,0.5179197758000986,0.21031726138233034,0.2857375059411953
ALG11,0.6162463401548258,0.20482167626177825,0.21024564695249626,0.6886240839133657
